Sur_yr,Cult_id/Hhid/Vdsid,Plot_code,crop,area_acres,yield_kg,sow_date,harvest_date,yield_t_ha,days_to_harvest
2010,IBH10A0054,D,Wheat,0.24,240.0,2010-12-14,2011-04-18,2.4709661477637757,125
2010,IBH10A0054,E,Wheat,0.36,400.0,2010-12-14,2011-04-19,2.745517941959751,126
2010,IBH10A0054,F,Wheat,0.18,160.0,2010-12-10,2011-04-20,2.1964143535678007,131
2010,IBH10A0055,B,Wheat,0.42,640.0,2010-11-02,2011-04-08,3.765281748973373,157
2010,IBH10A0055,C,Wheat,0.35,550.0,2010-11-02,2011-04-10,3.8829468036287906,159
2010,IBH10A0055,D,Wheat,0.9,1600.0,2010-11-26,2011-04-25,4.392828707135601,150
2010,IBH10A0055,E,Paddy,0.56,1600.0,2010-12-03,2011-04-28,7.059903279325073,146
2010,IBH10A0055,F,Wheat,0.13,180.0,2010-12-03,2011-04-28,3.421337743057535,146
2010,IBH10A0055,K,Paddy,0.5,700.0,2010-08-01,2010-11-26,3.4593526068692855,117
2010,IBH10A0055,M,Paddy,0.22,350.0,2010-08-01,2010-11-27,3.9310825078060065,118
2010,IBH10A0055,O,Paddy,0.2,320.0,2010-08-02,2010-11-27,3.9535458364220406,117
2010,IBH10A0056,A,Wheat,3.5,3500.0,2010-11-15,2011-04-15,2.4709661477637757,151
2010,IBH10A0056,AB,Paddy,3.35,6000.0,2010-08-03,2010-11-16,4.425611010920195,105
2010,IBH10A0056,B,Paddy,0.66,400.0,2010-07-06,2010-09-30,1.497555241068955,86
2010,IBH10A0056,C,Paddy,0.36,1060.0,2010-08-20,2010-11-25,7.275622546193341,97
2010,IBH10A0056,D,Paddy,0.36,700.0,2010-08-20,2010-11-25,4.804656398429564,97
2010,IBH10A0056,G,Paddy,0.24,450.0,2010-08-20,2010-11-26,4.633061527057079,98
2010,IBH10A0057,C,Wheat,0.58,1000.0,2010-11-20,2011-04-14,4.260286461661682,145
2010,IBH10A0057,E,Paddy,0.43,1640.0,2010-12-18,2011-04-27,9.424149958913004,130
2010,IBH10A0058,A,Wheat,0.77,900.0,2010-11-04,2011-04-15,2.8881422506329844,162
2010,IBH10A0058,B,Wheat,0.31,320.0,2010-11-13,2011-04-17,2.55067473317551,155
2010,IBH10A0058,P,Paddy,0.18,350.0,2010-08-15,2010-11-24,4.804656398429564,101
2010,IBH10A0058,Q,Paddy,0.12,150.0,2010-08-15,2010-11-25,3.08870768470472,102
2010,IBH10A0059,AB,Paddy,2.0,3600.0,2010-08-20,2010-11-16,4.447739065974797,88
2010,IBH10A0059,C,Wheat,0.55,800.0,2010-11-20,2011-04-18,3.5941325785654916,149
2010,IBH10A0059,E,Wheat,0.62,1000.0,2010-11-22,2011-04-16,3.9854292705867347,145
2010,IBH10A0059,F,Paddy,0.4,1300.0,2010-08-11,2010-11-15,8.03063998023227,96
2010,IBH10A0059,G,Wheat,0.62,800.0,2010-11-27,2011-04-15,3.1883434164693876,139
2010,IBH10A0059,H,Wheat,0.46,650.0,2010-11-28,2011-04-16,3.491582600100987,139
2010,IBH10A0059,N,Paddy,0.5,1340.0,2010-08-20,2011-04-18,6.622189276006919,241
2010,IBH10B0003,A,Paddy,0.18,620.0,2010-11-18,2011-04-15,8.511105620075227,148
2010,IBH10B0030,A,Wheat,0.49,750.0,2010-12-03,2011-04-05,3.782091042495575,123
2010,IBH10B0030,B,Wheat,0.24,400.0,2010-12-22,2011-04-06,4.118276912939627,105
2010,IBH10B0030,C,Wheat,0.16,200.0,2010-12-22,2011-04-09,3.0887076847047195,108
2010,IBH10B0031,B,Paddy,0.15,200.0,2010-12-08,2011-01-26,3.2946215303517015,49
2010,IBH10B0032,A,Paddy,0.2,200.0,2010-12-01,2011-04-25,2.470966147763775,145
2010,IBH10B0032,B,Wheat,0.25,350.0,2010-12-06,2011-04-23,3.4593526068692855,138
2010,IBH10B0032,C,Paddy,0.25,600.0,2010-08-15,2010-12-05,5.930318754633062,112
2010,IBH10B0033,B,Paddy,0.35,1065.0,2010-12-10,2011-04-24,7.518796992481203,135
2010,IBH10B0033,E,Wheat,0.3,420.0,2010-12-15,2011-04-26,3.459352606869286,132
2010,IBH10B0033,G,Paddy,0.17,435.0,2010-08-03,2010-11-25,6.322766319277896,114
2010,IBH10B0034,A,Paddy,0.62,1800.0,2010-11-20,2011-04-18,7.173772687056122,149
2010,IBH10B0035,C,Wheat,0.32,400.0,2010-12-04,2011-04-16,3.0887076847047195,133
2010,IBH10B0035,CA,Paddy,0.32,300.0,2010-07-27,2010-11-21,2.3165307635285393,117
2010,IBH10B0036,A,Paddy,0.48,1630.0,2010-07-26,2010-11-25,8.390989210114489,122
2010,IBH10B0037,BA,Wheat,0.5,1200.0,2010-12-28,2011-05-04,5.930318754633062,127
2010,IBH10B0038,B,Wheat,0.38,440.0,2010-12-17,2011-05-04,2.8611186974106877,138
2010,IBH10B0039,D,Wheat,0.4,250.0,2010-12-09,2011-04-08,1.5443538423523595,120
2010,IBH10B0040,A,Wheat,1.15,1480.0,2010-12-20,2011-04-20,3.180025998861207,121
2010,IBH10B0040,E,Paddy,0.62,400.0,2010-08-07,2011-03-24,1.5941717082346938,229
2010,IBH10B0041,A,Paddy,2.0,5800.0,2010-08-08,2010-11-25,7.165801828514949,109
2010,IBH10B0041,B,Wheat,0.22,280.0,2010-12-20,2011-04-24,3.1448660062448055,125
2010,IBH10B0041,C,Wheat,0.22,200.0,2010-12-20,2011-04-24,2.2463328616034324,125
2010,IBH10B0041,D,Wheat,0.24,350.0,2010-12-16,2011-04-24,3.603492298822173,129
2010,IBH10B0041,E,Wheat,0.3,350.0,2010-12-18,2011-04-24,2.8827938390577383,127
2010,IBH10B0042,A,Paddy,0.78,3200.0,2010-08-05,2010-11-25,10.137297016466773,112
2010,IBH10B0042,B,Paddy,0.78,3100.0,2010-08-05,2010-11-22,9.820506484702186,109
2010,IBH10B0042,D,Paddy,0.33,1240.0,2010-08-08,2010-11-28,9.28484249462752,112
2010,IBH10B0042,E,Paddy,0.36,1480.0,2010-08-08,2010-11-24,10.158416385251078,108
2010,IBH10B0042,F,Wheat,0.15,200.0,2010-12-10,2011-04-11,3.2946215303517015,122
2010,IBH10B0043,A,Paddy,1.56,5000.0,2010-08-09,2010-11-28,7.919763294114666,111
2010,IBH10B0043,B,Paddy,1.24,4100.0,2010-08-05,2010-11-25,8.170130004702806,112
2010,IBH10B0043,CA,Paddy,0.31,850.0,2010-08-09,2010-11-30,6.7752297599974485,113
2010,IBH10B0044,A,Paddy,1.62,4900.0,2010-08-05,2010-11-28,7.4739099531126545,115
2010,IBH10B0045,A,Paddy,1.56,4700.0,2010-08-09,2010-11-27,7.444577496467786,110
2010,IBH10B0045,B,Paddy,1.24,4150.0,2010-08-05,2010-11-22,8.269765736467475,109
2010,IBH10B0045,CA,Paddy,0.31,1000.0,2010-08-09,2010-11-27,7.970858541173469,110
2010,IBH10B0047,C,Wheat,0.62,800.0,2010-12-14,2011-04-17,3.1883434164693876,124
2010,IBH10B0047,D,Wheat,0.62,840.0,2010-12-12,2011-04-15,3.3477605872928566,124
2010,IBH10B0047,E,Wheat,0.52,720.0,2010-12-15,2011-04-12,3.421337743057535,118
2010,IBH10B0048,A,Paddy,1.3,2200.0,2010-08-09,2010-11-28,4.181635019292543,111
2010,IBH10B0049,A,Paddy,1.3,3560.0,2010-08-10,2010-11-10,6.76664575849157,92
2010,IBH10B0049,E,Wheat,0.62,800.0,2010-11-18,2011-04-04,3.1883434164693876,137
2010,IBH10B0050,AB,Paddy,1.0,1000.0,2010-08-10,2010-11-28,2.4709661477637757,110
2010,IBH10B0051,B,Paddy,1.09,3640.0,2010-08-06,2010-11-28,8.25166676867903,114
2010,IBH10B0051,C,Paddy,0.77,3100.0,2010-08-06,2010-11-28,9.948045529958057,114
2010,IBH10B0051,E,Paddy,1.09,3700.0,2010-08-08,2010-11-27,8.387683253877036,111
2010,IBH10B0051,F,Paddy,0.43,1400.0,2010-08-06,2010-11-24,8.04500606248671,110
2010,IBH10B0051,GA,Paddy,1.0,3300.0,2010-08-02,2010-11-18,8.154188287620459,108
2010,IBH10B0052,A,Paddy,2.0,5600.0,2010-08-09,2010-11-08,6.918705213738571,91
2010,IBH10B0052,B,Wheat,1.0,1400.0,2010-11-18,2011-04-25,3.4593526068692855,158
2010,IBH10B0052,D,Wheat,1.0,1400.0,2010-12-28,2011-04-23,3.4593526068692855,116
2010,IBH10B0053,A,Paddy,1.25,4140.0,2010-08-03,2010-11-27,8.183839881393626,116
2010,IBH10B0053,B,Paddy,4.62,14000.0,2010-08-02,2010-11-29,7.487776205344774,119
2010,IBH10B0053,C,Wheat,1.1,3300.0,2010-12-04,2011-04-12,7.412898443291326,129
2010,IBH10B0054,A,Paddy,2.62,9200.0,2010-08-03,2010-11-24,8.676675022681959,113
2010,IBH10B0054,B,Wheat,1.5,2200.0,2010-08-05,2010-11-26,3.6240836833868713,113
2010,IBH10B0054,C,Paddy,1.0,4120.0,2010-08-05,2010-11-24,10.180380528786756,111
2010,IBH10B0054,D,Paddy,0.62,1250.0,2010-08-17,2010-11-24,4.981786588233418,99
2010,IBH10B0054,J,Paddy,0.26,800.0,2010-08-08,2010-11-24,7.6029727623500785,108
2010,IBH10B0055,AA,Paddy,3.0,12400.0,2010-11-19,2011-04-10,10.213326744090272,142
2010,IBH10B0055,B,Paddy,1.0,4000.0,2010-11-20,2011-04-09,9.883864591055103,140
2010,IBH10B0055,D,Paddy,1.0,1200.0,2010-08-02,2010-11-20,2.965159377316531,110
2010,IBH10B0055,F,Paddy,1.0,3600.0,2010-08-04,2011-04-09,8.895478131949593,248
2010,IBH10B0056,AA,Paddy,1.0,3250.0,2010-08-07,2010-11-25,8.030639980232271,110
2010,IBH10B0057,C,Paddy,0.76,2650.0,2010-08-08,2010-11-24,8.615868804702638,108
2010,IBH10B0057,D,Paddy,0.68,2460.0,2010-08-24,2010-11-24,8.93908341691013,92
2010,IBH10B0058,BB,Paddy,0.36,200.0,2010-08-01,2010-11-15,1.3727589709798755,106
2010,IBH10B0058,C,Wheat,1.0,1280.0,2010-10-04,2010-12-15,3.162836669137633,72
2010,IBH10B0058,FB,Paddy,0.22,560.0,2010-12-01,2011-01-30,6.289732012489611,60
2010,IBH10B0058,HB,Paddy,0.06,80.0,2010-07-30,2010-10-30,3.294621530351701,92
2010,IBH10B0059,AA,Paddy,7.0,29500.0,2010-07-08,2010-11-26,10.413357337004483,141
2010,IBH10B0059,AB,Paddy,2.0,6900.0,2010-07-08,2010-11-25,8.524833209785026,140
2010,IBH10B0059,AC,Paddy,1.0,2900.0,2010-07-08,2010-11-26,7.165801828514949,141
2010,IBH10B0059,BA,Paddy,3.0,9060.0,2010-07-07,2010-11-25,7.462317766246603,141
2010,IBH10B0059,CA,Paddy,4.0,16400.0,2010-07-07,2010-11-30,10.130961205831479,146
2010,IBH10B0059,CB,Paddy,2.0,7880.0,2010-07-08,2010-11-27,9.735606622189275,142
2010,IBH10B0059,DA,Wheat,5.2,8400.0,2010-12-07,2011-04-13,3.991560700233791,127
2010,IBH10B0059,F,Paddy,2.0,9100.0,2010-07-15,2010-11-30,11.24289597232518,138
2010,IBH10B0059,H,Wheat,1.0,1540.0,2010-12-22,2011-04-20,3.8052878675562147,119
2010,IBH10C0010,A,Paddy,0.1,120.0,2010-11-10,2011-02-18,2.9651593773165303,100
2010,IBH10C0010,C,Wheat,0.1,35.0,2010-12-04,2011-04-14,0.8648381517173215,131
2010,IBH10C0030,A,Paddy,0.4,730.0,2010-07-08,2010-11-16,4.509513219668889,131
2010,IBH10C0030,B,Paddy,0.07,140.0,2010-07-09,2010-11-12,4.941932295527551,126
2010,IBH10C0031,B,Paddy,0.12,110.0,2010-07-15,2010-11-16,2.2650523021167945,124
2010,IBH10C0031,D,Paddy,0.15,150.0,2010-07-17,2010-11-21,2.4709661477637757,127
2010,IBH10C0032,A,Paddy,0.05,60.0,2010-07-24,2010-11-20,2.9651593773165303,119
2010,IBH10C0032,G,Paddy,0.05,60.0,2010-11-08,2011-02-21,2.9651593773165303,105
2010,IBH10C0033,C,Paddy,0.2,930.0,2010-07-15,2010-11-20,11.489992587101556,128
2010,IBH10C0033,E,Paddy,0.02,30.0,2010-07-08,2011-02-28,3.7064492216456633,235
2010,IBH10C0035,A,Paddy,0.15,150.0,2010-07-17,2010-11-24,2.4709661477637757,130
2010,IBH10C0035,B,Paddy,0.25,380.0,2010-12-01,2011-04-15,3.755868544600939,135
2010,IBH10C0035,C,Paddy,0.2,250.0,2010-11-06,2011-01-28,3.088707684704719,83
2010,IBH10C0036,A,Paddy,0.15,130.0,2010-12-05,2011-02-13,2.141503994728606,70
2010,IBH10C0036,C,Paddy,0.17,245.0,2010-12-02,2011-04-16,3.561098271777206,135
2010,IBH10C0036,D,Paddy,0.1,145.0,2010-12-01,2011-04-12,3.5829009142574737,132
2010,IBH10C0036,E,Paddy,0.1,120.0,2011-01-03,2011-02-28,2.9651593773165303,56
2010,IBH10C0037,E,Paddy,0.04,50.0,2010-11-03,2011-03-02,3.0887076847047195,119
2010,IBH10C0037,F,Paddy,0.04,46.0,2011-02-06,2011-04-16,2.8416110699283417,69
2010,IBH10C0037,G,Paddy,0.05,50.0,2010-11-04,2011-02-21,2.470966147763775,109
2010,IBH10C0038,A,Paddy,0.2,330.0,2010-07-05,2010-11-13,4.077094143810229,131
2010,IBH10C0038,D,Paddy,0.16,200.0,2010-12-04,2011-04-10,3.0887076847047195,127
2010,IBH10C0039,B,Paddy,0.15,180.0,2010-12-07,2011-04-07,2.965159377316531,121
2010,IBH10C0039,C,Paddy,0.15,210.0,2010-12-07,2011-04-06,3.459352606869286,120
2010,IBH10C0039,D,Paddy,0.4,450.0,2010-07-13,2010-11-29,2.779836916234247,139
2010,IBH10C0040,AB,Paddy,0.75,200.0,2010-09-09,2010-12-30,0.6589243060703402,112
2010,IBH10C0040,E,Paddy,0.13,120.0,2010-07-18,2010-11-21,2.2808918287050233,126
2010,IBH10C0041,E,Paddy,0.1,80.0,2010-07-18,2010-11-10,1.9767729182110203,115
2010,IBH10C0041,G,Paddy,0.03,30.0,2010-07-19,2010-11-10,2.4709661477637757,114
2010,IBH10C0041,H,Paddy,0.15,150.0,2010-07-19,2011-02-23,2.4709661477637757,219
2010,IBH10C0041,I,Paddy,0.05,50.0,2010-07-20,2010-11-17,2.470966147763775,120
2010,IBH10C0042,C,Paddy,0.15,240.0,2010-11-09,2011-04-14,3.953545836422041,156
2010,IBH10C0043,B,Paddy,0.45,450.0,2010-07-06,2011-02-20,2.4709661477637757,229
2010,IBH10C0043,BA,Paddy,0.05,45.0,2010-06-07,2010-11-09,2.223869532987398,155
2010,IBH10C0043,C,Paddy,0.35,300.0,2010-07-08,2010-11-13,2.117970983797522,128
2010,IBH10C0043,CA,Wheat,0.28,80.0,2010-12-01,2011-04-20,0.7059903279325073,140
2010,IBH10C0043,D,Paddy,0.05,55.0,2010-07-13,2011-02-18,2.718062762540153,220
2010,IBH10C0044,D,Paddy,0.03,20.0,2010-07-16,2010-11-14,1.6473107651758505,121
2010,IBH10C0045,C,Paddy,0.3,440.0,2010-07-14,2010-11-19,3.6240836833868713,128
2010,IBH10C0045,G,Paddy,0.1,100.0,2010-12-01,2011-02-20,2.470966147763775,81
2010,IBH10C0046,B,Paddy,0.3,660.0,2010-12-01,2011-04-18,5.436125525080307,138
2010,IBH10C0046,G,Paddy,0.25,200.0,2010-11-13,2011-02-22,1.9767729182110205,101
2010,IBH10C0046,H,Paddy,0.1,180.0,2010-07-15,2010-11-24,4.447739065974796,132
2010,IBH10C0047,A,Paddy,0.2,500.0,2010-11-09,2011-02-21,6.177415369409438,104
2010,IBH10C0047,B,Paddy,0.45,610.0,2010-12-01,2011-04-21,3.349531889190896,141
2010,IBH10C0047,C,Paddy,0.3,420.0,2010-12-05,2011-04-19,3.459352606869286,135
2010,IBH10C0047,E,Paddy,0.06,80.0,2010-12-05,2011-04-19,3.294621530351701,135
2010,IBH10C0047,F,Paddy,0.05,90.0,2010-07-09,2010-11-23,4.447739065974796,137
2010,IBH10C0048,A,Paddy,0.04,30.0,2010-07-16,2011-02-27,1.8532246108228316,226
2010,IBH10C0048,D,Paddy,0.07,60.0,2010-11-09,2011-03-08,2.117970983797522,119
2010,IBH10C0048,E,Paddy,0.04,40.0,2010-07-16,2010-10-24,2.4709661477637757,100
2010,IBH10C0048,F,Paddy,0.03,40.0,2010-07-24,2010-10-28,3.294621530351701,96
2010,IBH10C0049,C,Wheat,0.05,40.0,2010-12-07,2011-04-18,1.9767729182110203,132
2010,IBH10C0049,D,Paddy,0.25,540.0,2010-07-21,2010-11-18,5.337286879169755,120
2010,IBH10C0049,G,Paddy,0.07,150.0,2010-07-23,2010-11-25,5.294927459493804,125
2010,IBH10C0049,I,Paddy,0.2,380.0,2010-11-26,2011-04-16,4.694835680751173,141
2010,IBH10C0050,B,Paddy,0.6,730.0,2010-12-06,2011-04-20,3.006342146445927,135
2010,IBH10C0050,O,Wheat,0.6,220.0,2010-12-03,2011-04-17,0.9060209208467178,135
2010,IBH10C0050,R,Wheat,1.0,415.0,2010-12-08,2011-04-12,1.0254509513219667,125
2010,IBH10C0051,A,Paddy,0.04,50.0,2010-05-21,2010-10-25,3.0887076847047195,157
2010,IBH10C0051,B,Paddy,0.2,200.0,2010-07-09,2010-11-27,2.470966147763775,141
2010,IBH10C0051,D,Paddy,0.1,150.0,2010-11-04,2011-04-14,3.706449221645663,161
2010,IBH10C0051,G,Paddy,0.2,300.0,2010-07-14,2010-11-22,3.706449221645663,131
2010,IBH10C0051,H,Paddy,0.12,200.0,2010-07-15,2010-10-28,4.118276912939627,105
2010,IBH10C0051,I,Paddy,0.3,300.0,2010-07-15,2010-11-25,2.4709661477637757,133
2010,IBH10C0052,B,Paddy,0.9,900.0,2010-07-05,2010-11-26,2.4709661477637757,144
2010,IBH10C0052,G,Paddy,0.5,500.0,2010-07-09,2010-11-19,2.4709661477637757,133
2010,IBH10C0052,H,Paddy,0.45,650.0,2010-07-10,2010-11-22,3.569173324547676,135
2010,IBH10C0052,P,Paddy,0.4,400.0,2010-07-05,2010-11-28,2.470966147763775,146
2010,IBH10C0052,Q,Paddy,0.9,1000.0,2010-07-18,2010-10-27,2.7455179419597506,101
2010,IBH10C0052,T,Paddy,0.25,300.0,2010-06-06,2010-11-03,2.965159377316531,150
2010,IBH10C0053,A,Paddy,0.4,500.0,2010-11-02,2011-01-21,3.088707684704719,80
2010,IBH10C0053,F,Paddy,0.4,580.0,2010-06-12,2010-11-21,3.5829009142574737,162
2010,IBH10C0053,H,Paddy,0.4,550.0,2010-12-02,2011-04-23,3.3975784531751914,142
2010,IBH10C0053,J,Paddy,0.4,560.0,2010-12-07,2011-04-19,3.459352606869286,133
2010,IBH10C0053,M,Paddy,0.25,330.0,2010-07-11,2010-11-14,3.261675315048184,126
2010,IBH10C0053,Q,Paddy,0.25,360.0,2010-12-11,2011-04-10,3.558191252779837,120
2010,IBH10C0054,A,Paddy,0.15,200.0,2010-07-08,2011-02-20,3.2946215303517015,227
2010,IBH10C0054,B,Paddy,0.2,120.0,2010-07-08,2011-02-23,1.4825796886582652,230
2010,IBH10C0054,C,Paddy,0.15,180.0,2010-07-09,2010-12-04,2.965159377316531,148
2010,IBH10C0054,D,Paddy,0.15,250.0,2010-07-09,2010-11-13,4.118276912939627,127
2010,IBH10C0054,J,Paddy,0.05,50.0,2010-07-12,2010-11-11,2.470966147763775,122
2010,IBH10C0054,K,Paddy,0.2,250.0,2010-07-20,2010-11-18,3.088707684704719,121
2010,IBH10C0055,D,Paddy,0.21,90.0,2010-05-21,2010-10-27,1.0589854918987611,159
2010,IBH10C0055,F,Paddy,0.1,80.0,2010-07-07,2010-11-09,1.9767729182110203,125
2010,IBH10C0055,H,Paddy,0.1,150.0,2010-12-03,2011-04-14,3.706449221645663,132
2010,IBH10C0055,I,Paddy,0.31,420.0,2010-12-04,2011-04-15,3.3477605872928566,132
2010,IBH10C0055,K,Paddy,0.25,330.0,2010-07-13,2010-11-18,3.261675315048184,128
2010,IBH10C0056,A,Paddy,0.15,180.0,2010-11-04,2011-02-23,2.965159377316531,111
2010,IBH10C0056,E,Paddy,0.35,570.0,2010-07-05,2010-11-14,4.0241448692152915,132
2010,IBH10C0056,F,Paddy,0.12,180.0,2010-07-08,2011-02-14,3.7064492216456637,221
2010,IBH10C0056,G,Paddy,0.1,125.0,2010-07-04,2011-02-18,3.088707684704719,229
2010,IBH10C0057,C,Paddy,0.1,100.0,2010-07-06,2011-02-25,2.470966147763775,234
