state,district,year,season,gross_cropped_area_ha,n_crops_grown,non_rice_cropped_area_ha,rice_area_ha,rice_area_share,n_rice_seasons,source_name,source_url,retrieved_date,geographic_level
Andhra Pradesh,ANANTAPUR,2001,Rabi,126134.0,18,88015.0,38119.0,0.30221034772543487,2,"District-wise, season-wise crop production statistics - Government of India, Ministry of Agriculture and Farmers Welfare (via data.gov.in)",https://data.gov.in/resource/35be999b-0208-4354-b557-f6ca9a5355de,2026-09-04,district
Andhra Pradesh,ANANTAPUR,2001,Whole Year,8071.0,8,8071.0,,,2,"District-wise, season-wise crop production statistics - Government of India, Ministry of Agriculture and Farmers Welfare (via data.gov.in)",https://data.gov.in/resource/35be999b-0208-4354-b557-f6ca9a5355de,2026-09-04,district
Andhra Pradesh,ANANTAPUR,2002,Kharif,886420.0,19,857354.0,29066.0,0.03279032512804314,2,"District-wise, season-wise crop production statistics - Government of India, Ministry of Agriculture and Farmers Welfare (via data.gov.in)",https://data.gov.in/resource/35be999b-0208-4354-b557-f6ca9a5355de,2026-09-04,district
Andhra Pradesh,ANANTAPUR,2002,Rabi,102992.0,16,92032.0,10960.0,0.10641603231318937,2,"District-wise, season-wise crop production statistics - Government of India, Ministry of Agriculture and Farmers Welfare (via data.gov.in)",https://data.gov.in/resource/35be999b-0208-4354-b557-f6ca9a5355de,2026-09-04,district
Andhra Pradesh,ANANTAPUR,2002,Whole Year,35726.0,22,35726.0,,,2,"District-wise, season-wise crop production statistics - Government of India, Ministry of Agriculture and Farmers Welfare (via data.gov.in)",https://data.gov.in/resource/35be999b-0208-4354-b557-f6ca9a5355de,2026-09-04,district
Andhra Pradesh,ANANTAPUR,2003,Kharif,843480.0,20,825965.0,17515.0,0.020765163370797174,2,"District-wise, season-wise crop production statistics - Government of India, Ministry of Agriculture and Farmers Welfare (via data.gov.in)",https://data.gov.in/resource/35be999b-0208-4354-b557-f6ca9a5355de,2026-09-04,district
Andhra Pradesh,ANANTAPUR,2003,Rabi,103700.0,16,92874.0,10826.0,0.10439729990356798,2,"District-wise, season-wise crop production statistics - Government of India, Ministry of Agriculture and Farmers Welfare (via data.gov.in)",https://data.gov.in/resource/35be999b-0208-4354-b557-f6ca9a5355de,2026-09-04,district
Andhra Pradesh,ANANTAPUR,2003,Whole Year,37470.0,19,37470.0,,,2,"District-wise, season-wise crop production statistics - Government of India, Ministry of Agriculture and Farmers Welfare (via data.gov.in)",https://data.gov.in/resource/35be999b-0208-4354-b557-f6ca9a5355de,2026-09-04,district
Andhra Pradesh,ANANTAPUR,2004,Kharif,1004306.0,18,979971.0,24335.0,0.02423066276612905,2,"District-wise, season-wise crop production statistics - Government of India, Ministry of Agriculture and Farmers Welfare (via data.gov.in)",https://data.gov.in/resource/35be999b-0208-4354-b557-f6ca9a5355de,2026-09-04,district
Andhra Pradesh,ANANTAPUR,2004,Rabi,110243.0,16,101003.0,9240.0,0.0838148453870087,2,"District-wise, season-wise crop production statistics - Government of India, Ministry of Agriculture and Farmers Welfare (via data.gov.in)",https://data.gov.in/resource/35be999b-0208-4354-b557-f6ca9a5355de,2026-09-04,district
Andhra Pradesh,ANANTAPUR,2004,Whole Year,4088.0,8,4088.0,,,2,"District-wise, season-wise crop production statistics - Government of India, Ministry of Agriculture and Farmers Welfare (via data.gov.in)",https://data.gov.in/resource/35be999b-0208-4354-b557-f6ca9a5355de,2026-09-04,district
Andhra Pradesh,ANANTAPUR,2005,Kharif,962863.0,17,937855.0,25008.0,0.025972542303526046,2,"District-wise, season-wise crop production statistics - Government of India, Ministry of Agriculture and Farmers Welfare (via data.gov.in)",https://data.gov.in/resource/35be999b-0208-4354-b557-f6ca9a5355de,2026-09-04,district
Andhra Pradesh,ANANTAPUR,2005,Rabi,110316.0,15,87174.0,23142.0,0.20977917981072555,2,"District-wise, season-wise crop production statistics - Government of India, Ministry of Agriculture and Farmers Welfare (via data.gov.in)",https://data.gov.in/resource/35be999b-0208-4354-b557-f6ca9a5355de,2026-09-04,district
Andhra Pradesh,ANANTAPUR,2005,Whole Year,53299.0,9,53299.0,,,2,"District-wise, season-wise crop production statistics - Government of India, Ministry of Agriculture and Farmers Welfare (via data.gov.in)",https://data.gov.in/resource/35be999b-0208-4354-b557-f6ca9a5355de,2026-09-04,district
Andhra Pradesh,ANANTAPUR,2006,Kharif,726273.0,16,703924.0,22349.0,0.030772175201336138,2,"District-wise, season-wise crop production statistics - Government of India, Ministry of Agriculture and Farmers Welfare (via data.gov.in)",https://data.gov.in/resource/35be999b-0208-4354-b557-f6ca9a5355de,2026-09-04,district
Andhra Pradesh,ANANTAPUR,2006,Rabi,143470.0,15,132624.0,10846.0,0.07559768592737158,2,"District-wise, season-wise crop production statistics - Government of India, Ministry of Agriculture and Farmers Welfare (via data.gov.in)",https://data.gov.in/resource/35be999b-0208-4354-b557-f6ca9a5355de,2026-09-04,district
Andhra Pradesh,ANANTAPUR,2006,Whole Year,63801.0,8,63801.0,,,2,"District-wise, season-wise crop production statistics - Government of India, Ministry of Agriculture and Farmers Welfare (via data.gov.in)",https://data.gov.in/resource/35be999b-0208-4354-b557-f6ca9a5355de,2026-09-04,district
Andhra Pradesh,ANANTAPUR,2007,Kharif,986000.0,13,956000.0,30000.0,0.030425963488843813,2,"District-wise, season-wise crop production statistics - Government of India, Ministry of Agriculture and Farmers Welfare (via data.gov.in)",https://data.gov.in/resource/35be999b-0208-4354-b557-f6ca9a5355de,2026-09-04,district
Andhra Pradesh,ANANTAPUR,2007,Rabi,155000.0,7,141000.0,14000.0,0.09032258064516129,2,"District-wise, season-wise crop production statistics - Government of India, Ministry of Agriculture and Farmers Welfare (via data.gov.in)",https://data.gov.in/resource/35be999b-0208-4354-b557-f6ca9a5355de,2026-09-04,district
Andhra Pradesh,ANANTAPUR,2008,Kharif,934701.0,16,904395.0,30306.0,0.032423202714022985,2,"District-wise, season-wise crop production statistics - Government of India, Ministry of Agriculture and Farmers Welfare (via data.gov.in)",https://data.gov.in/resource/35be999b-0208-4354-b557-f6ca9a5355de,2026-09-04,district
Andhra Pradesh,ANANTAPUR,2008,Rabi,125540.0,12,107124.0,18416.0,0.14669428070734428,2,"District-wise, season-wise crop production statistics - Government of India, Ministry of Agriculture and Farmers Welfare (via data.gov.in)",https://data.gov.in/resource/35be999b-0208-4354-b557-f6ca9a5355de,2026-09-04,district
Andhra Pradesh,ANANTAPUR,2008,Whole Year,50982.0,8,50982.0,,,2,"District-wise, season-wise crop production statistics - Government of India, Ministry of Agriculture and Farmers Welfare (via data.gov.in)",https://data.gov.in/resource/35be999b-0208-4354-b557-f6ca9a5355de,2026-09-04,district
Andhra Pradesh,ANANTAPUR,2009,Kharif,631886.0,17,599660.0,32226.0,0.05099970564310651,2,"District-wise, season-wise crop production statistics - Government of India, Ministry of Agriculture and Farmers Welfare (via data.gov.in)",https://data.gov.in/resource/35be999b-0208-4354-b557-f6ca9a5355de,2026-09-04,district
Andhra Pradesh,ANANTAPUR,2009,Rabi,161113.0,15,141685.0,19428.0,0.12058617243797831,2,"District-wise, season-wise crop production statistics - Government of India, Ministry of Agriculture and Farmers Welfare (via data.gov.in)",https://data.gov.in/resource/35be999b-0208-4354-b557-f6ca9a5355de,2026-09-04,district
Andhra Pradesh,ANANTAPUR,2009,Whole Year,66672.0,8,66672.0,,,2,"District-wise, season-wise crop production statistics - Government of India, Ministry of Agriculture and Farmers Welfare (via data.gov.in)",https://data.gov.in/resource/35be999b-0208-4354-b557-f6ca9a5355de,2026-09-04,district
Andhra Pradesh,ANANTAPUR,2010,Kharif,948081.0,18,913108.0,34973.0,0.03688819837123621,2,"District-wise, season-wise crop production statistics - Government of India, Ministry of Agriculture and Farmers Welfare (via data.gov.in)",https://data.gov.in/resource/35be999b-0208-4354-b557-f6ca9a5355de,2026-09-04,district
Andhra Pradesh,ANANTAPUR,2010,Rabi,160297.0,13,135469.0,24828.0,0.15488749009650835,2,"District-wise, season-wise crop production statistics - Government of India, Ministry of Agriculture and Farmers Welfare (via data.gov.in)",https://data.gov.in/resource/35be999b-0208-4354-b557-f6ca9a5355de,2026-09-04,district
Andhra Pradesh,ANANTAPUR,2010,Whole Year,28210.0,9,28210.0,,,2,"District-wise, season-wise crop production statistics - Government of India, Ministry of Agriculture and Farmers Welfare (via data.gov.in)",https://data.gov.in/resource/35be999b-0208-4354-b557-f6ca9a5355de,2026-09-04,district
Andhra Pradesh,ANANTAPUR,2011,Kharif,922284.0,20,884564.0,37720.0,0.04089846511486701,2,"District-wise, season-wise crop production statistics - Government of India, Ministry of Agriculture and Farmers Welfare (via data.gov.in)",https://data.gov.in/resource/35be999b-0208-4354-b557-f6ca9a5355de,2026-09-04,district
Andhra Pradesh,ANANTAPUR,2011,Rabi,117270.0,17,106322.0,10948.0,0.09335720985759359,2,"District-wise, season-wise crop production statistics - Government of India, Ministry of Agriculture and Farmers Welfare (via data.gov.in)",https://data.gov.in/resource/35be999b-0208-4354-b557-f6ca9a5355de,2026-09-04,district
Andhra Pradesh,ANANTAPUR,2011,Whole Year,26003.0,10,26003.0,,,2,"District-wise, season-wise crop production statistics - Government of India, Ministry of Agriculture and Farmers Welfare (via data.gov.in)",https://data.gov.in/resource/35be999b-0208-4354-b557-f6ca9a5355de,2026-09-04,district
Andhra Pradesh,ANANTAPUR,2012,Kharif,901575.0,32,879519.0,22056.0,0.024463854920555694,2,"District-wise, season-wise crop production statistics - Government of India, Ministry of Agriculture and Farmers Welfare (via data.gov.in)",https://data.gov.in/resource/35be999b-0208-4354-b557-f6ca9a5355de,2026-09-04,district
Andhra Pradesh,ANANTAPUR,2012,Rabi,143218.0,25,136220.0,6998.0,0.048862573140247736,2,"District-wise, season-wise crop production statistics - Government of India, Ministry of Agriculture and Farmers Welfare (via data.gov.in)",https://data.gov.in/resource/35be999b-0208-4354-b557-f6ca9a5355de,2026-09-04,district
Andhra Pradesh,ANANTAPUR,2012,Whole Year,646.0,1,646.0,,,2,"District-wise, season-wise crop production statistics - Government of India, Ministry of Agriculture and Farmers Welfare (via data.gov.in)",https://data.gov.in/resource/35be999b-0208-4354-b557-f6ca9a5355de,2026-09-04,district
Andhra Pradesh,ANANTAPUR,2013,Kharif,933446.0,35,905332.0,28114.0,0.030118507123068714,2,"District-wise, season-wise crop production statistics - Government of India, Ministry of Agriculture and Farmers Welfare (via data.gov.in)",https://data.gov.in/resource/35be999b-0208-4354-b557-f6ca9a5355de,2026-09-04,district
Andhra Pradesh,ANANTAPUR,2013,Rabi,146032.0,26,133749.0,12283.0,0.08411170154486688,2,"District-wise, season-wise crop production statistics - Government of India, Ministry of Agriculture and Farmers Welfare (via data.gov.in)",https://data.gov.in/resource/35be999b-0208-4354-b557-f6ca9a5355de,2026-09-04,district
Andhra Pradesh,ANANTAPUR,2013,Whole Year,22850.0,10,22850.0,,,2,"District-wise, season-wise crop production statistics - Government of India, Ministry of Agriculture and Farmers Welfare (via data.gov.in)",https://data.gov.in/resource/35be999b-0208-4354-b557-f6ca9a5355de,2026-09-04,district
Andhra Pradesh,ANANTAPUR,2014,Kharif,766580.0,36,743922.0,22658.0,0.029557254298311984,3,"District-wise, season-wise crop production statistics - Government of India, Ministry of Agriculture and Farmers Welfare (via data.gov.in)",https://data.gov.in/resource/35be999b-0208-4354-b557-f6ca9a5355de,2026-09-04,district
Andhra Pradesh,ANANTAPUR,2014,Rabi,127646.0,26,121093.0,6553.0,0.05133729219873713,3,"District-wise, season-wise crop production statistics - Government of India, Ministry of Agriculture and Farmers Welfare (via data.gov.in)",https://data.gov.in/resource/35be999b-0208-4354-b557-f6ca9a5355de,2026-09-04,district
Andhra Pradesh,ANANTAPUR,2014,Whole Year,29898.0,2,687.0,29211.0,0.9770218743728678,3,"District-wise, season-wise crop production statistics - Government of India, Ministry of Agriculture and Farmers Welfare (via data.gov.in)",https://data.gov.in/resource/35be999b-0208-4354-b557-f6ca9a5355de,2026-09-04,district
Andhra Pradesh,CHITTOOR,1997,Kharif,337000.0,15,294700.0,42300.0,0.1255192878338279,2,"District-wise, season-wise crop production statistics - Government of India, Ministry of Agriculture and Farmers Welfare (via data.gov.in)",https://data.gov.in/resource/35be999b-0208-4354-b557-f6ca9a5355de,2026-09-04,district
Andhra Pradesh,CHITTOOR,1997,Rabi,92400.0,6,35000.0,57400.0,0.6212121212121212,2,"District-wise, season-wise crop production statistics - Government of India, Ministry of Agriculture and Farmers Welfare (via data.gov.in)",https://data.gov.in/resource/35be999b-0208-4354-b557-f6ca9a5355de,2026-09-04,district
Andhra Pradesh,CHITTOOR,1998,Kharif,308300.0,17,266300.0,42000.0,0.1362309438858255,2,"District-wise, season-wise crop production statistics - Government of India, Ministry of Agriculture and Farmers Welfare (via data.gov.in)",https://data.gov.in/resource/35be999b-0208-4354-b557-f6ca9a5355de,2026-09-04,district
Andhra Pradesh,CHITTOOR,1998,Rabi,100600.0,8,38200.0,62400.0,0.6202783300198808,2,"District-wise, season-wise crop production statistics - Government of India, Ministry of Agriculture and Farmers Welfare (via data.gov.in)",https://data.gov.in/resource/35be999b-0208-4354-b557-f6ca9a5355de,2026-09-04,district
Andhra Pradesh,CHITTOOR,1998,Whole Year,34500.0,1,34500.0,,,2,"District-wise, season-wise crop production statistics - Government of India, Ministry of Agriculture and Farmers Welfare (via data.gov.in)",https://data.gov.in/resource/35be999b-0208-4354-b557-f6ca9a5355de,2026-09-04,district
Andhra Pradesh,CHITTOOR,1999,Kharif,249031.0,14,211489.0,37542.0,0.15075231597672578,2,"District-wise, season-wise crop production statistics - Government of India, Ministry of Agriculture and Farmers Welfare (via data.gov.in)",https://data.gov.in/resource/35be999b-0208-4354-b557-f6ca9a5355de,2026-09-04,district
Andhra Pradesh,CHITTOOR,1999,Rabi,68577.0,12,31088.0,37489.0,0.5466701663823148,2,"District-wise, season-wise crop production statistics - Government of India, Ministry of Agriculture and Farmers Welfare (via data.gov.in)",https://data.gov.in/resource/35be999b-0208-4354-b557-f6ca9a5355de,2026-09-04,district
Andhra Pradesh,CHITTOOR,1999,Whole Year,48864.0,4,48864.0,,,2,"District-wise, season-wise crop production statistics - Government of India, Ministry of Agriculture and Farmers Welfare (via data.gov.in)",https://data.gov.in/resource/35be999b-0208-4354-b557-f6ca9a5355de,2026-09-04,district
Andhra Pradesh,CHITTOOR,2000,Kharif,266695.0,23,232919.0,33776.0,0.12664654380472073,2,"District-wise, season-wise crop production statistics - Government of India, Ministry of Agriculture and Farmers Welfare (via data.gov.in)",https://data.gov.in/resource/35be999b-0208-4354-b557-f6ca9a5355de,2026-09-04,district
Andhra Pradesh,CHITTOOR,2000,Rabi,71431.0,17,29989.0,41442.0,0.5801682742786746,2,"District-wise, season-wise crop production statistics - Government of India, Ministry of Agriculture and Farmers Welfare (via data.gov.in)",https://data.gov.in/resource/35be999b-0208-4354-b557-f6ca9a5355de,2026-09-04,district
Andhra Pradesh,CHITTOOR,2000,Whole Year,46913.0,10,46913.0,,,2,"District-wise, season-wise crop production statistics - Government of India, Ministry of Agriculture and Farmers Welfare (via data.gov.in)",https://data.gov.in/resource/35be999b-0208-4354-b557-f6ca9a5355de,2026-09-04,district
Andhra Pradesh,CHITTOOR,2001,Kharif,230212.0,22,205835.0,24377.0,0.10588935416051291,2,"District-wise, season-wise crop production statistics - Government of India, Ministry of Agriculture and Farmers Welfare (via data.gov.in)",https://data.gov.in/resource/35be999b-0208-4354-b557-f6ca9a5355de,2026-09-04,district
Andhra Pradesh,CHITTOOR,2001,Rabi,91222.0,14,29173.0,62049.0,0.6801977593124465,2,"District-wise, season-wise crop production statistics - Government of India, Ministry of Agriculture and Farmers Welfare (via data.gov.in)",https://data.gov.in/resource/35be999b-0208-4354-b557-f6ca9a5355de,2026-09-04,district
Andhra Pradesh,CHITTOOR,2001,Whole Year,45418.0,9,45418.0,,,2,"District-wise, season-wise crop production statistics - Government of India, Ministry of Agriculture and Farmers Welfare (via data.gov.in)",https://data.gov.in/resource/35be999b-0208-4354-b557-f6ca9a5355de,2026-09-04,district
Andhra Pradesh,CHITTOOR,2002,Kharif,150831.0,18,130694.0,20137.0,0.13350703767793093,2,"District-wise, season-wise crop production statistics - Government of India, Ministry of Agriculture and Farmers Welfare (via data.gov.in)",https://data.gov.in/resource/35be999b-0208-4354-b557-f6ca9a5355de,2026-09-04,district
Andhra Pradesh,CHITTOOR,2002,Rabi,57134.0,18,27100.0,30034.0,0.5256764798543774,2,"District-wise, season-wise crop production statistics - Government of India, Ministry of Agriculture and Farmers Welfare (via data.gov.in)",https://data.gov.in/resource/35be999b-0208-4354-b557-f6ca9a5355de,2026-09-04,district
Andhra Pradesh,CHITTOOR,2002,Whole Year,116054.0,24,116054.0,,,2,"District-wise, season-wise crop production statistics - Government of India, Ministry of Agriculture and Farmers Welfare (via data.gov.in)",https://data.gov.in/resource/35be999b-0208-4354-b557-f6ca9a5355de,2026-09-04,district
Andhra Pradesh,CHITTOOR,2003,Kharif,195928.0,20,177433.0,18495.0,0.09439692131803519,2,"District-wise, season-wise crop production statistics - Government of India, Ministry of Agriculture and Farmers Welfare (via data.gov.in)",https://data.gov.in/resource/35be999b-0208-4354-b557-f6ca9a5355de,2026-09-04,district
Andhra Pradesh,CHITTOOR,2003,Rabi,57127.0,16,29841.0,27286.0,0.47763754441857614,2,"District-wise, season-wise crop production statistics - Government of India, Ministry of Agriculture and Farmers Welfare (via data.gov.in)",https://data.gov.in/resource/35be999b-0208-4354-b557-f6ca9a5355de,2026-09-04,district
Andhra Pradesh,CHITTOOR,2003,Whole Year,106681.0,23,106681.0,,,2,"District-wise, season-wise crop production statistics - Government of India, Ministry of Agriculture and Farmers Welfare (via data.gov.in)",https://data.gov.in/resource/35be999b-0208-4354-b557-f6ca9a5355de,2026-09-04,district
Andhra Pradesh,CHITTOOR,2004,Kharif,254913.0,19,235858.0,19055.0,0.0747509934762056,2,"District-wise, season-wise crop production statistics - Government of India, Ministry of Agriculture and Farmers Welfare (via data.gov.in)",https://data.gov.in/resource/35be999b-0208-4354-b557-f6ca9a5355de,2026-09-04,district
Andhra Pradesh,CHITTOOR,2004,Rabi,59435.0,17,33613.0,25822.0,0.4344578110540927,2,"District-wise, season-wise crop production statistics - Government of India, Ministry of Agriculture and Farmers Welfare (via data.gov.in)",https://data.gov.in/resource/35be999b-0208-4354-b557-f6ca9a5355de,2026-09-04,district
Andhra Pradesh,CHITTOOR,2004,Whole Year,29118.0,9,29118.0,,,2,"District-wise, season-wise crop production statistics - Government of India, Ministry of Agriculture and Farmers Welfare (via data.gov.in)",https://data.gov.in/resource/35be999b-0208-4354-b557-f6ca9a5355de,2026-09-04,district
Andhra Pradesh,CHITTOOR,2005,Kharif,225990.0,18,209750.0,16240.0,0.07186158679587593,2,"District-wise, season-wise crop production statistics - Government of India, Ministry of Agriculture and Farmers Welfare (via data.gov.in)",https://data.gov.in/resource/35be999b-0208-4354-b557-f6ca9a5355de,2026-09-04,district
Andhra Pradesh,CHITTOOR,2005,Rabi,90600.0,14,24249.0,66351.0,0.7323509933774834,2,"District-wise, season-wise crop production statistics - Government of India, Ministry of Agriculture and Farmers Welfare (via data.gov.in)",https://data.gov.in/resource/35be999b-0208-4354-b557-f6ca9a5355de,2026-09-04,district
Andhra Pradesh,CHITTOOR,2005,Whole Year,31129.0,10,31129.0,,,2,"District-wise, season-wise crop production statistics - Government of India, Ministry of Agriculture and Farmers Welfare (via data.gov.in)",https://data.gov.in/resource/35be999b-0208-4354-b557-f6ca9a5355de,2026-09-04,district
Andhra Pradesh,CHITTOOR,2006,Kharif,131934.0,17,114885.0,17049.0,0.12922370276047115,2,"District-wise, season-wise crop production statistics - Government of India, Ministry of Agriculture and Farmers Welfare (via data.gov.in)",https://data.gov.in/resource/35be999b-0208-4354-b557-f6ca9a5355de,2026-09-04,district
Andhra Pradesh,CHITTOOR,2006,Rabi,55136.0,16,25972.0,29164.0,0.528946604759141,2,"District-wise, season-wise crop production statistics - Government of India, Ministry of Agriculture and Farmers Welfare (via data.gov.in)",https://data.gov.in/resource/35be999b-0208-4354-b557-f6ca9a5355de,2026-09-04,district
Andhra Pradesh,CHITTOOR,2006,Whole Year,50462.0,10,50462.0,,,2,"District-wise, season-wise crop production statistics - Government of India, Ministry of Agriculture and Farmers Welfare (via data.gov.in)",https://data.gov.in/resource/35be999b-0208-4354-b557-f6ca9a5355de,2026-09-04,district
Andhra Pradesh,CHITTOOR,2007,Kharif,190000.0,13,175000.0,15000.0,0.07894736842105263,2,"District-wise, season-wise crop production statistics - Government of India, Ministry of Agriculture and Farmers Welfare (via data.gov.in)",https://data.gov.in/resource/35be999b-0208-4354-b557-f6ca9a5355de,2026-09-04,district
Andhra Pradesh,CHITTOOR,2007,Rabi,69000.0,7,32000.0,37000.0,0.5362318840579711,2,"District-wise, season-wise crop production statistics - Government of India, Ministry of Agriculture and Farmers Welfare (via data.gov.in)",https://data.gov.in/resource/35be999b-0208-4354-b557-f6ca9a5355de,2026-09-04,district
Andhra Pradesh,CHITTOOR,2007,Whole Year,30000.0,1,30000.0,,,2,"District-wise, season-wise crop production statistics - Government of India, Ministry of Agriculture and Farmers Welfare (via data.gov.in)",https://data.gov.in/resource/35be999b-0208-4354-b557-f6ca9a5355de,2026-09-04,district
Andhra Pradesh,CHITTOOR,2008,Kharif,214403.0,17,196807.0,17596.0,0.08206974715838865,2,"District-wise, season-wise crop production statistics - Government of India, Ministry of Agriculture and Farmers Welfare (via data.gov.in)",https://data.gov.in/resource/35be999b-0208-4354-b557-f6ca9a5355de,2026-09-04,district
Andhra Pradesh,CHITTOOR,2008,Rabi,61859.0,12,23932.0,37927.0,0.6131201603647004,2,"District-wise, season-wise crop production statistics - Government of India, Ministry of Agriculture and Farmers Welfare (via data.gov.in)",https://data.gov.in/resource/35be999b-0208-4354-b557-f6ca9a5355de,2026-09-04,district
Andhra Pradesh,CHITTOOR,2008,Whole Year,36690.0,11,36690.0,,,2,"District-wise, season-wise crop production statistics - Government of India, Ministry of Agriculture and Farmers Welfare (via data.gov.in)",https://data.gov.in/resource/35be999b-0208-4354-b557-f6ca9a5355de,2026-09-04,district
Andhra Pradesh,CHITTOOR,2009,Kharif,179682.0,17,159924.0,19758.0,0.10996093097806124,2,"District-wise, season-wise crop production statistics - Government of India, Ministry of Agriculture and Farmers Welfare (via data.gov.in)",https://data.gov.in/resource/35be999b-0208-4354-b557-f6ca9a5355de,2026-09-04,district
Andhra Pradesh,CHITTOOR,2009,Rabi,59320.0,13,24165.0,35155.0,0.5926331759946055,2,"District-wise, season-wise crop production statistics - Government of India, Ministry of Agriculture and Farmers Welfare (via data.gov.in)",https://data.gov.in/resource/35be999b-0208-4354-b557-f6ca9a5355de,2026-09-04,district
Andhra Pradesh,CHITTOOR,2009,Whole Year,37329.0,11,37329.0,,,2,"District-wise, season-wise crop production statistics - Government of India, Ministry of Agriculture and Farmers Welfare (via data.gov.in)",https://data.gov.in/resource/35be999b-0208-4354-b557-f6ca9a5355de,2026-09-04,district
Andhra Pradesh,CHITTOOR,2010,Kharif,198560.0,17,180541.0,18019.0,0.09074838839645447,2,"District-wise, season-wise crop production statistics - Government of India, Ministry of Agriculture and Farmers Welfare (via data.gov.in)",https://data.gov.in/resource/35be999b-0208-4354-b557-f6ca9a5355de,2026-09-04,district
Andhra Pradesh,CHITTOOR,2010,Rabi,64163.0,14,20605.0,43558.0,0.6788647662983339,2,"District-wise, season-wise crop production statistics - Government of India, Ministry of Agriculture and Farmers Welfare (via data.gov.in)",https://data.gov.in/resource/35be999b-0208-4354-b557-f6ca9a5355de,2026-09-04,district
Andhra Pradesh,CHITTOOR,2010,Whole Year,31472.0,10,31472.0,,,2,"District-wise, season-wise crop production statistics - Government of India, Ministry of Agriculture and Farmers Welfare (via data.gov.in)",https://data.gov.in/resource/35be999b-0208-4354-b557-f6ca9a5355de,2026-09-04,district
