state,district,year,season,crop,area_ha
Andhra Pradesh,ANANTAPUR,2000,Kharif,Moong(Green Gram),1744.0
Andhra Pradesh,ANANTAPUR,2000,Kharif,Onion,1103.0
Andhra Pradesh,ANANTAPUR,2000,Kharif,Other Kharif pulses,3167.0
Andhra Pradesh,ANANTAPUR,2000,Kharif,other misc. pulses,1292.0
Andhra Pradesh,ANANTAPUR,2000,Kharif,Ragi,6613.0
Andhra Pradesh,ANANTAPUR,2000,Kharif,Rice,39905.0
Andhra Pradesh,ANANTAPUR,2000,Kharif,Samai,21.0
Andhra Pradesh,ANANTAPUR,2000,Kharif,Sesamum,5.0
Andhra Pradesh,ANANTAPUR,2000,Kharif,Small millets,1647.0
Andhra Pradesh,ANANTAPUR,2000,Kharif,Sunflower,30606.0
Andhra Pradesh,ANANTAPUR,2000,Kharif,Urad,135.0
Andhra Pradesh,ANANTAPUR,2000,Rabi,Arhar/Tur,35.0
Andhra Pradesh,ANANTAPUR,2000,Rabi,Bajra,317.0
Andhra Pradesh,ANANTAPUR,2000,Rabi,Dry chillies,71.0
Andhra Pradesh,ANANTAPUR,2000,Rabi,Gram,33858.0
Andhra Pradesh,ANANTAPUR,2000,Rabi,Groundnut,23048.0
Andhra Pradesh,ANANTAPUR,2000,Rabi,Horse-gram,377.0
Andhra Pradesh,ANANTAPUR,2000,Rabi,Jowar,15242.0
Andhra Pradesh,ANANTAPUR,2000,Rabi,Korra,96.0
Andhra Pradesh,ANANTAPUR,2000,Rabi,Linseed,8.0
Andhra Pradesh,ANANTAPUR,2000,Rabi,Maize,399.0
Andhra Pradesh,ANANTAPUR,2000,Rabi,Onion,482.0
Andhra Pradesh,ANANTAPUR,2000,Rabi,Ragi,909.0
Andhra Pradesh,ANANTAPUR,2000,Rabi,Rice,22099.0
Andhra Pradesh,ANANTAPUR,2000,Rabi,Safflower,703.0
Andhra Pradesh,ANANTAPUR,2000,Rabi,Small millets,96.0
Andhra Pradesh,ANANTAPUR,2000,Rabi,Urad,363.0
Andhra Pradesh,ANANTAPUR,2000,Rabi,Wheat,520.0
Andhra Pradesh,ANANTAPUR,2000,Whole Year,Arecanut,252.0
Andhra Pradesh,ANANTAPUR,2000,Whole Year,Banana,769.0
Andhra Pradesh,ANANTAPUR,2000,Whole Year,Coconut,908.0
Andhra Pradesh,ANANTAPUR,2000,Whole Year,Coriander,8953.0
Andhra Pradesh,ANANTAPUR,2000,Whole Year,Potato,4.0
Andhra Pradesh,ANANTAPUR,2000,Whole Year,Sugarcane,284.0
Andhra Pradesh,ANANTAPUR,2000,Whole Year,Sweet potato,28.0
Andhra Pradesh,ANANTAPUR,2000,Whole Year,Tobacco,89.0
Andhra Pradesh,ANANTAPUR,2000,Whole Year,Turmeric,39.0
Andhra Pradesh,ANANTAPUR,2001,Kharif,Arhar/Tur,27942.0
Andhra Pradesh,ANANTAPUR,2001,Kharif,Bajra,1595.0
Andhra Pradesh,ANANTAPUR,2001,Kharif,Castor seed,3191.0
Andhra Pradesh,ANANTAPUR,2001,Kharif,Cotton(lint),8552.0
Andhra Pradesh,ANANTAPUR,2001,Kharif,Dry chillies,3765.0
Andhra Pradesh,ANANTAPUR,2001,Kharif,Gram,16.0
Andhra Pradesh,ANANTAPUR,2001,Kharif,Groundnut,758700.0
Andhra Pradesh,ANANTAPUR,2001,Kharif,Horse-gram,649.0
Andhra Pradesh,ANANTAPUR,2001,Kharif,Jowar,3900.0
Andhra Pradesh,ANANTAPUR,2001,Kharif,Korra,1434.0
Andhra Pradesh,ANANTAPUR,2001,Kharif,Maize,2667.0
Andhra Pradesh,ANANTAPUR,2001,Kharif,Moong(Green Gram),1511.0
Andhra Pradesh,ANANTAPUR,2001,Kharif,Onion,1165.0
Andhra Pradesh,ANANTAPUR,2001,Kharif,Other Kharif pulses,2496.0
Andhra Pradesh,ANANTAPUR,2001,Kharif,Ragi,5124.0
Andhra Pradesh,ANANTAPUR,2001,Kharif,Rice,32878.0
Andhra Pradesh,ANANTAPUR,2001,Kharif,Small millets,1434.0
Andhra Pradesh,ANANTAPUR,2001,Kharif,Sunflower,51610.0
Andhra Pradesh,ANANTAPUR,2001,Kharif,Urad,487.0
Andhra Pradesh,ANANTAPUR,2001,Rabi,Arhar/Tur,5.0
Andhra Pradesh,ANANTAPUR,2001,Rabi,Bajra,27.0
Andhra Pradesh,ANANTAPUR,2001,Rabi,Dry chillies,108.0
Andhra Pradesh,ANANTAPUR,2001,Rabi,Gram,47894.0
Andhra Pradesh,ANANTAPUR,2001,Rabi,Groundnut,18773.0
Andhra Pradesh,ANANTAPUR,2001,Rabi,Horse-gram,417.0
Andhra Pradesh,ANANTAPUR,2001,Rabi,Jowar,15170.0
Andhra Pradesh,ANANTAPUR,2001,Rabi,Linseed,5.0
Andhra Pradesh,ANANTAPUR,2001,Rabi,Maize,447.0
Andhra Pradesh,ANANTAPUR,2001,Rabi,Moong(Green Gram),40.0
Andhra Pradesh,ANANTAPUR,2001,Rabi,Onion,380.0
Andhra Pradesh,ANANTAPUR,2001,Rabi,Other  Rabi pulses,1.0
Andhra Pradesh,ANANTAPUR,2001,Rabi,Ragi,544.0
Andhra Pradesh,ANANTAPUR,2001,Rabi,Rice,38119.0
Andhra Pradesh,ANANTAPUR,2001,Rabi,Safflower,3768.0
Andhra Pradesh,ANANTAPUR,2001,Rabi,Sesamum,2.0
Andhra Pradesh,ANANTAPUR,2001,Rabi,Urad,127.0
Andhra Pradesh,ANANTAPUR,2001,Rabi,Wheat,307.0
Andhra Pradesh,ANANTAPUR,2001,Whole Year,Arecanut,257.0
Andhra Pradesh,ANANTAPUR,2001,Whole Year,Banana,1582.0
Andhra Pradesh,ANANTAPUR,2001,Whole Year,Coconut,851.0
Andhra Pradesh,ANANTAPUR,2001,Whole Year,Coriander,4741.0
Andhra Pradesh,ANANTAPUR,2001,Whole Year,Sugarcane,490.0
Andhra Pradesh,ANANTAPUR,2001,Whole Year,Sweet potato,31.0
Andhra Pradesh,ANANTAPUR,2001,Whole Year,Tobacco,111.0
Andhra Pradesh,ANANTAPUR,2001,Whole Year,Turmeric,8.0
Andhra Pradesh,ANANTAPUR,2002,Kharif,Arhar/Tur,33454.0
Andhra Pradesh,ANANTAPUR,2002,Kharif,Bajra,1925.0
Andhra Pradesh,ANANTAPUR,2002,Kharif,Castor seed,2050.0
Andhra Pradesh,ANANTAPUR,2002,Kharif,Cotton(lint),7638.0
Andhra Pradesh,ANANTAPUR,2002,Kharif,Dry chillies,2737.0
Andhra Pradesh,ANANTAPUR,2002,Kharif,Groundnut,732262.0
Andhra Pradesh,ANANTAPUR,2002,Kharif,Horse-gram,947.0
Andhra Pradesh,ANANTAPUR,2002,Kharif,Jowar,2906.0
Andhra Pradesh,ANANTAPUR,2002,Kharif,Korra,1000.0
Andhra Pradesh,ANANTAPUR,2002,Kharif,Maize,3541.0
Andhra Pradesh,ANANTAPUR,2002,Kharif,Moong(Green Gram),1150.0
Andhra Pradesh,ANANTAPUR,2002,Kharif,Onion,776.0
Andhra Pradesh,ANANTAPUR,2002,Kharif,Other Kharif pulses,490.0
Andhra Pradesh,ANANTAPUR,2002,Kharif,Ragi,5157.0
Andhra Pradesh,ANANTAPUR,2002,Kharif,Rice,29066.0
Andhra Pradesh,ANANTAPUR,2002,Kharif,Small millets,919.0
Andhra Pradesh,ANANTAPUR,2002,Kharif,Soyabean,51.0
Andhra Pradesh,ANANTAPUR,2002,Kharif,Sunflower,60319.0
Andhra Pradesh,ANANTAPUR,2002,Kharif,Urad,32.0
Andhra Pradesh,ANANTAPUR,2002,Rabi,Bajra,129.0
Andhra Pradesh,ANANTAPUR,2002,Rabi,Dry chillies,83.0
Andhra Pradesh,ANANTAPUR,2002,Rabi,Gram,54264.0
Andhra Pradesh,ANANTAPUR,2002,Rabi,Groundnut,17529.0
Andhra Pradesh,ANANTAPUR,2002,Rabi,Horse-gram,1859.0
Andhra Pradesh,ANANTAPUR,2002,Rabi,Jowar,12676.0
Andhra Pradesh,ANANTAPUR,2002,Rabi,Linseed,8.0
Andhra Pradesh,ANANTAPUR,2002,Rabi,Maize,1288.0
Andhra Pradesh,ANANTAPUR,2002,Rabi,Moong(Green Gram),4.0
Andhra Pradesh,ANANTAPUR,2002,Rabi,Onion,401.0
Andhra Pradesh,ANANTAPUR,2002,Rabi,Ragi,417.0
Andhra Pradesh,ANANTAPUR,2002,Rabi,Rice,10960.0
Andhra Pradesh,ANANTAPUR,2002,Rabi,Safflower,2594.0
Andhra Pradesh,ANANTAPUR,2002,Rabi,Small millets,10.0
Andhra Pradesh,ANANTAPUR,2002,Rabi,Urad,408.0
Andhra Pradesh,ANANTAPUR,2002,Rabi,Wheat,362.0
Andhra Pradesh,ANANTAPUR,2002,Whole Year,Arecanut,263.0
Andhra Pradesh,ANANTAPUR,2002,Whole Year,Banana,19.0
Andhra Pradesh,ANANTAPUR,2002,Whole Year,Beans & Mutter(Vegetable),1.0
Andhra Pradesh,ANANTAPUR,2002,Whole Year,Bhindi,126.0
Andhra Pradesh,ANANTAPUR,2002,Whole Year,Brinjal,1026.0
Andhra Pradesh,ANANTAPUR,2002,Whole Year,Citrus Fruit,788.0
Andhra Pradesh,ANANTAPUR,2002,Whole Year,Coconut,869.0
Andhra Pradesh,ANANTAPUR,2002,Whole Year,Coriander,3914.0
Andhra Pradesh,ANANTAPUR,2002,Whole Year,Cucumber,18.0
Andhra Pradesh,ANANTAPUR,2002,Whole Year,Grapes,111.0
Andhra Pradesh,ANANTAPUR,2002,Whole Year,Mango,3968.0
Andhra Pradesh,ANANTAPUR,2002,Whole Year,Orange,13767.0
Andhra Pradesh,ANANTAPUR,2002,Whole Year,other fibres,132.0
Andhra Pradesh,ANANTAPUR,2002,Whole Year,Other Fresh Fruits,2418.0
Andhra Pradesh,ANANTAPUR,2002,Whole Year,Other Vegetables,1767.0
Andhra Pradesh,ANANTAPUR,2002,Whole Year,Papaya,1544.0
Andhra Pradesh,ANANTAPUR,2002,Whole Year,Pome Fruit,1207.0
Andhra Pradesh,ANANTAPUR,2002,Whole Year,Potato,2.0
Andhra Pradesh,ANANTAPUR,2002,Whole Year,Sugarcane,329.0
Andhra Pradesh,ANANTAPUR,2002,Whole Year,Sweet potato,50.0
Andhra Pradesh,ANANTAPUR,2002,Whole Year,Tobacco,51.0
Andhra Pradesh,ANANTAPUR,2002,Whole Year,Tomato,3356.0
Andhra Pradesh,ANANTAPUR,2003,Kharif,Arhar/Tur,41178.0
Andhra Pradesh,ANANTAPUR,2003,Kharif,Bajra,2280.0
Andhra Pradesh,ANANTAPUR,2003,Kharif,Castor seed,1927.0
Andhra Pradesh,ANANTAPUR,2003,Kharif,Cotton(lint),4212.0
Andhra Pradesh,ANANTAPUR,2003,Kharif,Dry chillies,2920.0
Andhra Pradesh,ANANTAPUR,2003,Kharif,Groundnut,670935.0
Andhra Pradesh,ANANTAPUR,2003,Kharif,Horse-gram,492.0
Andhra Pradesh,ANANTAPUR,2003,Kharif,Jowar,12487.0
Andhra Pradesh,ANANTAPUR,2003,Kharif,Korra,1245.0
Andhra Pradesh,ANANTAPUR,2003,Kharif,Maize,6246.0
Andhra Pradesh,ANANTAPUR,2003,Kharif,Moong(Green Gram),1216.0
Andhra Pradesh,ANANTAPUR,2003,Kharif,Onion,846.0
Andhra Pradesh,ANANTAPUR,2003,Kharif,Other Kharif pulses,340.0
Andhra Pradesh,ANANTAPUR,2003,Kharif,Ragi,3353.0
Andhra Pradesh,ANANTAPUR,2003,Kharif,Rice,17515.0
Andhra Pradesh,ANANTAPUR,2003,Kharif,Samai,245.0
Andhra Pradesh,ANANTAPUR,2003,Kharif,Small millets,1420.0
Andhra Pradesh,ANANTAPUR,2003,Kharif,Soyabean,16.0
Andhra Pradesh,ANANTAPUR,2003,Kharif,Sunflower,74525.0
Andhra Pradesh,ANANTAPUR,2003,Kharif,Urad,82.0
Andhra Pradesh,ANANTAPUR,2003,Rabi,Bajra,113.0
Andhra Pradesh,ANANTAPUR,2003,Rabi,Dry chillies,91.0
Andhra Pradesh,ANANTAPUR,2003,Rabi,Gram,51461.0
Andhra Pradesh,ANANTAPUR,2003,Rabi,Groundnut,15060.0
Andhra Pradesh,ANANTAPUR,2003,Rabi,Horse-gram,1560.0
Andhra Pradesh,ANANTAPUR,2003,Rabi,Jowar,21391.0
Andhra Pradesh,ANANTAPUR,2003,Rabi,Linseed,7.0
Andhra Pradesh,ANANTAPUR,2003,Rabi,Maize,1212.0
Andhra Pradesh,ANANTAPUR,2003,Rabi,Moong(Green Gram),22.0
Andhra Pradesh,ANANTAPUR,2003,Rabi,Onion,535.0
Andhra Pradesh,ANANTAPUR,2003,Rabi,Other  Rabi pulses,17.0
Andhra Pradesh,ANANTAPUR,2003,Rabi,Ragi,614.0
Andhra Pradesh,ANANTAPUR,2003,Rabi,Rice,10826.0
Andhra Pradesh,ANANTAPUR,2003,Rabi,Safflower,307.0
Andhra Pradesh,ANANTAPUR,2003,Rabi,Small millets,70.0
Andhra Pradesh,ANANTAPUR,2003,Rabi,Wheat,414.0
Andhra Pradesh,ANANTAPUR,2003,Whole Year,Arecanut,266.0
Andhra Pradesh,ANANTAPUR,2003,Whole Year,Banana,36.0
Andhra Pradesh,ANANTAPUR,2003,Whole Year,Bhindi,101.0
Andhra Pradesh,ANANTAPUR,2003,Whole Year,Brinjal,1129.0
Andhra Pradesh,ANANTAPUR,2003,Whole Year,Citrus Fruit,706.0
Andhra Pradesh,ANANTAPUR,2003,Whole Year,Coconut,839.0
Andhra Pradesh,ANANTAPUR,2003,Whole Year,Coriander,5646.0
Andhra Pradesh,ANANTAPUR,2003,Whole Year,Cucumber,51.0
Andhra Pradesh,ANANTAPUR,2003,Whole Year,Grapes,118.0
Andhra Pradesh,ANANTAPUR,2003,Whole Year,Mango,3935.0
Andhra Pradesh,ANANTAPUR,2003,Whole Year,Orange,13441.0
Andhra Pradesh,ANANTAPUR,2003,Whole Year,Other Fresh Fruits,3241.0
Andhra Pradesh,ANANTAPUR,2003,Whole Year,Other Vegetables,1783.0
Andhra Pradesh,ANANTAPUR,2003,Whole Year,Papaya,1381.0
Andhra Pradesh,ANANTAPUR,2003,Whole Year,Pome Fruit,1466.0
Andhra Pradesh,ANANTAPUR,2003,Whole Year,Sugarcane,454.0
Andhra Pradesh,ANANTAPUR,2003,Whole Year,Sweet potato,30.0
Andhra Pradesh,ANANTAPUR,2003,Whole Year,Tobacco,20.0
Andhra Pradesh,ANANTAPUR,2003,Whole Year,Tomato,2827.0
Andhra Pradesh,ANANTAPUR,2004,Kharif,Arhar/Tur,32752.0
Andhra Pradesh,ANANTAPUR,2004,Kharif,Bajra,1021.0
Andhra Pradesh,ANANTAPUR,2004,Kharif,Castor seed,1578.0
Andhra Pradesh,ANANTAPUR,2004,Kharif,Cotton(lint),8933.0
Andhra Pradesh,ANANTAPUR,2004,Kharif,Dry chillies,3402.0
Andhra Pradesh,ANANTAPUR,2004,Kharif,Groundnut,857823.0
Andhra Pradesh,ANANTAPUR,2004,Kharif,Horse-gram,421.0
Andhra Pradesh,ANANTAPUR,2004,Kharif,Jowar,4300.0
Andhra Pradesh,ANANTAPUR,2004,Kharif,Maize,3495.0
Andhra Pradesh,ANANTAPUR,2004,Kharif,Moong(Green Gram),1464.0
Andhra Pradesh,ANANTAPUR,2004,Kharif,Onion,1324.0
Andhra Pradesh,ANANTAPUR,2004,Kharif,Other Kharif pulses,1605.0
Andhra Pradesh,ANANTAPUR,2004,Kharif,Ragi,3166.0
Andhra Pradesh,ANANTAPUR,2004,Kharif,Rice,24335.0
Andhra Pradesh,ANANTAPUR,2004,Kharif,Small millets,661.0
Andhra Pradesh,ANANTAPUR,2004,Kharif,Soyabean,1131.0
Andhra Pradesh,ANANTAPUR,2004,Kharif,Sunflower,56819.0
Andhra Pradesh,ANANTAPUR,2004,Kharif,Urad,76.0
Andhra Pradesh,ANANTAPUR,2004,Rabi,Bajra,62.0
Andhra Pradesh,ANANTAPUR,2004,Rabi,Dry chillies,155.0
Andhra Pradesh,ANANTAPUR,2004,Rabi,Gram,42106.0
Andhra Pradesh,ANANTAPUR,2004,Rabi,Groundnut,14500.0
Andhra Pradesh,ANANTAPUR,2004,Rabi,Horse-gram,226.0
Andhra Pradesh,ANANTAPUR,2004,Rabi,Jowar,11871.0
Andhra Pradesh,ANANTAPUR,2004,Rabi,Linseed,34.0
Andhra Pradesh,ANANTAPUR,2004,Rabi,Maize,3572.0
Andhra Pradesh,ANANTAPUR,2004,Rabi,Moong(Green Gram),3.0
Andhra Pradesh,ANANTAPUR,2004,Rabi,Onion,234.0
Andhra Pradesh,ANANTAPUR,2004,Rabi,Ragi,397.0
Andhra Pradesh,ANANTAPUR,2004,Rabi,Rice,9240.0
Andhra Pradesh,ANANTAPUR,2004,Rabi,Safflower,186.0
Andhra Pradesh,ANANTAPUR,2004,Rabi,Small millets,36.0
Andhra Pradesh,ANANTAPUR,2004,Rabi,Sunflower,27228.0
Andhra Pradesh,ANANTAPUR,2004,Rabi,Wheat,393.0
Andhra Pradesh,ANANTAPUR,2004,Whole Year,Banana,324.0
Andhra Pradesh,ANANTAPUR,2004,Whole Year,Coconut,837.0
Andhra Pradesh,ANANTAPUR,2004,Whole Year,Coriander,2439.0
Andhra Pradesh,ANANTAPUR,2004,Whole Year,Potato,2.0
Andhra Pradesh,ANANTAPUR,2004,Whole Year,Sugarcane,400.0
Andhra Pradesh,ANANTAPUR,2004,Whole Year,Sweet potato,33.0
Andhra Pradesh,ANANTAPUR,2004,Whole Year,Tobacco,49.0
Andhra Pradesh,ANANTAPUR,2004,Whole Year,Turmeric,4.0
Andhra Pradesh,ANANTAPUR,2005,Kharif,Arhar/Tur,35013.0
Andhra Pradesh,ANANTAPUR,2005,Kharif,Bajra,993.0
Andhra Pradesh,ANANTAPUR,2005,Kharif,Castor seed,2081.0
Andhra Pradesh,ANANTAPUR,2005,Kharif,Cotton(lint),3295.0
Andhra Pradesh,ANANTAPUR,2005,Kharif,Dry chillies,2178.0
Andhra Pradesh,ANANTAPUR,2005,Kharif,Groundnut,877029.0
Andhra Pradesh,ANANTAPUR,2005,Kharif,Horse-gram,410.0
Andhra Pradesh,ANANTAPUR,2005,Kharif,Jowar,3759.0
Andhra Pradesh,ANANTAPUR,2005,Kharif,Maize,5958.0
Andhra Pradesh,ANANTAPUR,2005,Kharif,Moong(Green Gram),1078.0
Andhra Pradesh,ANANTAPUR,2005,Kharif,Onion,985.0
Andhra Pradesh,ANANTAPUR,2005,Kharif,Other Kharif pulses,1429.0
Andhra Pradesh,ANANTAPUR,2005,Kharif,Ragi,2303.0
Andhra Pradesh,ANANTAPUR,2005,Kharif,Rice,25008.0
Andhra Pradesh,ANANTAPUR,2005,Kharif,Small millets,854.0
Andhra Pradesh,ANANTAPUR,2005,Kharif,Soyabean,421.0
Andhra Pradesh,ANANTAPUR,2005,Kharif,Urad,69.0
Andhra Pradesh,ANANTAPUR,2005,Rabi,Bajra,66.0
Andhra Pradesh,ANANTAPUR,2005,Rabi,Dry chillies,58.0
Andhra Pradesh,ANANTAPUR,2005,Rabi,Gram,49105.0
Andhra Pradesh,ANANTAPUR,2005,Rabi,Groundnut,22006.0
Andhra Pradesh,ANANTAPUR,2005,Rabi,Horse-gram,205.0
Andhra Pradesh,ANANTAPUR,2005,Rabi,Jowar,12931.0
Andhra Pradesh,ANANTAPUR,2005,Rabi,Linseed,29.0
Andhra Pradesh,ANANTAPUR,2005,Rabi,Maize,1435.0
Andhra Pradesh,ANANTAPUR,2005,Rabi,Moong(Green Gram),16.0
Andhra Pradesh,ANANTAPUR,2005,Rabi,Onion,381.0
Andhra Pradesh,ANANTAPUR,2005,Rabi,Ragi,472.0
Andhra Pradesh,ANANTAPUR,2005,Rabi,Rice,23142.0
Andhra Pradesh,ANANTAPUR,2005,Rabi,Safflower,162.0
Andhra Pradesh,ANANTAPUR,2005,Rabi,Urad,11.0
Andhra Pradesh,ANANTAPUR,2005,Rabi,Wheat,297.0
Andhra Pradesh,ANANTAPUR,2005,Whole Year,Arecanut,268.0
Andhra Pradesh,ANANTAPUR,2005,Whole Year,Banana,303.0
Andhra Pradesh,ANANTAPUR,2005,Whole Year,Coconut,836.0
Andhra Pradesh,ANANTAPUR,2005,Whole Year,Coriander,2962.0
Andhra Pradesh,ANANTAPUR,2005,Whole Year,Sugarcane,227.0
Andhra Pradesh,ANANTAPUR,2005,Whole Year,Sunflower,48677.0
Andhra Pradesh,ANANTAPUR,2005,Whole Year,Sweet potato,23.0
