canonical_district,region,year,fasli,net_irrigated_area_ha,gross_irrigated_area_ha,area_irrigated_more_than_once_ha,net_area_sown_ha,pct_net_irrigated_to_net_area_sown,irrigation_intensity_reported,net_source,pct_source,unit_as_published,unit_conversion_applied,identity_gross_minus_more_equals_net,identity_intensity_check,source_district_name,source_publication,row_status
MEDAK,Telangana,2011-12,1421,157000,240000,83000,481000,32.64,1.52,derived: gross - area_irrigated_more_than_once,computed: net/net_area_sown,'000 Hect.,x1000 ('000 Hect. -> hectares),True,True,Medak,"DES AP, Districts at a Glance 2012, pp.17/22/23",ACCEPTED
NIZAMABAD,Telangana,2004-05,1414,114937,189830,74893,,55.6,,published,published,hectares,none,True,,NIZAMABAD,"DES AP, Season and Crop Report 2004-05, Table III-B (Concld.), p.170",ACCEPTED
NIZAMABAD,Telangana,2011-12,1421,214000,398000,184000,337000,63.5,1.86,derived: gross - area_irrigated_more_than_once,computed: net/net_area_sown,'000 Hect.,x1000 ('000 Hect. -> hectares),True,True,Nizamabad,"DES AP, Districts at a Glance 2012, pp.17/22/23",ACCEPTED
ADILABAD,Telangana,2004-05,1414,69881,71795,1914,,13.0,,published,published,hectares,none,True,,ADILABAD,"DES AP, Season and Crop Report 2004-05, Table III-B (Concld.), p.170",ACCEPTED
ADILABAD,Telangana,2011-12,1421,83000,112000,29000,590000,14.07,1.35,derived: gross - area_irrigated_more_than_once,computed: net/net_area_sown,'000 Hect.,x1000 ('000 Hect. -> hectares),True,True,Adilabad,"DES AP, Districts at a Glance 2012, pp.17/22/23",ACCEPTED
KARIMNAGAR,Telangana,2004-05,1414,169330,236430,67100,,50.8,,published,published,hectares,none,True,,KARIMNAGAR,"DES AP, Season and Crop Report 2004-05, Table III-B (Concld.), p.170",ACCEPTED
KARIMNAGAR,Telangana,2011-12,1421,354000,586000,232000,532000,66.54,1.65,derived: gross - area_irrigated_more_than_once,computed: net/net_area_sown,'000 Hect.,x1000 ('000 Hect. -> hectares),True,True,Karimnagar,"DES AP, Districts at a Glance 2012, pp.17/22/23",ACCEPTED
WARANGAL,Telangana,2004-05,1414,284852,328697,43845,,63.6,,published,published,hectares,none,True,,WARANGAL,"DES AP, Season and Crop Report 2004-05, Table III-B (Concld.), p.170",ACCEPTED
WARANGAL,Telangana,2011-12,1421,339000,448000,109000,530000,63.96,1.32,derived: gross - area_irrigated_more_than_once,computed: net/net_area_sown,'000 Hect.,x1000 ('000 Hect. -> hectares),True,True,Warangal,"DES AP, Districts at a Glance 2012, pp.17/22/23",ACCEPTED
KHAMMAM,Telangana,2004-05,1414,173244,205416,32172,,39.5,,published,published,hectares,none,True,,KHAMMAM,"DES AP, Season and Crop Report 2004-05, Table III-B (Concld.), p.170",ACCEPTED
KHAMMAM,Telangana,2011-12,1421,206000,243000,37000,458000,44.98,1.18,derived: gross - area_irrigated_more_than_once,computed: net/net_area_sown,'000 Hect.,x1000 ('000 Hect. -> hectares),True,True,Khammam,"DES AP, Districts at a Glance 2012, pp.17/22/23",ACCEPTED
NALGONDA,Telangana,2004-05,1414,187124,254755,67631,,36.1,,published,published,hectares,none,True,,NALGONDA,"DES AP, Season and Crop Report 2004-05, Table III-B (Concld.), p.170",ACCEPTED
NALGONDA,Telangana,2011-12,1421,298000,408000,110000,573000,52.01,1.37,derived: gross - area_irrigated_more_than_once,computed: net/net_area_sown,'000 Hect.,x1000 ('000 Hect. -> hectares),True,True,Nalgonda,"DES AP, Districts at a Glance 2012, pp.17/22/23",ACCEPTED
KANCHEEPURAM,Tamil Nadu,2004-05,1414,105478,138362,32884,,86.91,1.31,published,published,hectares,none,True,True,Kancheepuram,"DES TN, Season and Crop Report 2004-05, Table III-B, All Sources",ACCEPTED
KANCHEEPURAM,Tamil Nadu,2011-12,1421,101052,115000,13948,,80.73,1.14,published,published,hectares,none,True,True,Kancheepuram,"DES TN, Season and Crop Report 2011-12 (Fasli 1421), Table III-B, p.104",ACCEPTED
CUDDALORE,Tamil Nadu,2004-05,1414,146355,174858,28503,,67.96,1.19,published,published,hectares,none,True,True,Cuddalore,"DES TN, Season and Crop Report 2004-05, Table III-B, All Sources",ACCEPTED
CUDDALORE,Tamil Nadu,2011-12,1421,148549,180345,31796,,69.35,1.21,published,published,hectares,none,True,True,Cuddalore,"DES TN, Season and Crop Report 2011-12 (Fasli 1421), Table III-B, p.104",ACCEPTED
DHARMAPURI,Tamil Nadu,2004-05,1414,51447,57261,5814,,30.28,1.11,published,published,hectares,none,True,True,Dharmapuri,"DES TN, Season and Crop Report 2004-05, Table III-B, All Sources",ACCEPTED
DHARMAPURI,Tamil Nadu,2011-12,1421,83206,121890,38684,,54.28,1.46,published,published,hectares,none,True,True,Dharmapuri,"DES TN, Season and Crop Report 2011-12 (Fasli 1421), Table III-B, p.104",ACCEPTED
KRISHNAGIRI,Tamil Nadu,2004-05,1414,44075,48442,4367,,24.53,1.1,published,published,hectares,none,True,True,Krishnagiri,"DES TN, Season and Crop Report 2004-05, Table III-B, All Sources",ACCEPTED
KRISHNAGIRI,Tamil Nadu,2011-12,1421,52120,60117,7997,,29.99,1.15,published,published,hectares,none,True,True,Krishnagiri,"DES TN, Season and Crop Report 2011-12 (Fasli 1421), Table III-B, p.104",ACCEPTED
KARUR,Tamil Nadu,2004-05,1414,42880,44926,2046,,42.7,1.05,published,published,hectares,none,True,True,Karur,"DES TN, Season and Crop Report 2004-05, Table III-B, All Sources",ACCEPTED
KARUR,Tamil Nadu,2011-12,1421,60478,67158,6680,,62.31,1.11,published,published,hectares,none,True,True,Karur,"DES TN, Season and Crop Report 2011-12 (Fasli 1421), Table III-B, p.104",ACCEPTED
NAGAPATTINAM,Tamil Nadu,2004-05,1414,118174,146099,27925,,82.57,1.24,published,published,hectares,none,True,True,Nagapattinam,"DES TN, Season and Crop Report 2004-05, Table III-B, All Sources",ACCEPTED
NAGAPATTINAM,Tamil Nadu,2011-12,1421,123108,164183,41075,,75.06,1.33,published,published,hectares,none,True,True,Nagapattinam,"DES TN, Season and Crop Report 2011-12 (Fasli 1421), Table III-B, p.104",ACCEPTED
MADURAI,Tamil Nadu,2004-05,1414,77206,85490,8284,,55.72,1.11,published,published,hectares,none,True,True,Madurai,"DES TN, Season and Crop Report 2004-05, Table III-B, All Sources",ACCEPTED
MADURAI,Tamil Nadu,2011-12,1421,88555,96896,8341,,63.64,1.09,published,published,hectares,none,True,True,Madurai,"DES TN, Season and Crop Report 2011-12 (Fasli 1421), Table III-B, p.104",ACCEPTED
DINDIGUL,Tamil Nadu,2004-05,1414,92955,100111,7156,,36.32,1.08,published,published,hectares,none,True,True,Dindigul,"DES TN, Season and Crop Report 2004-05, Table III-B, All Sources",ACCEPTED
DINDIGUL,Tamil Nadu,2011-12,1421,120894,125445,4551,,52.64,1.04,published,published,hectares,none,True,True,Dindigul,"DES TN, Season and Crop Report 2011-12 (Fasli 1421), Table III-B, p.104",ACCEPTED
