source_district_name,source_state_as_printed,reporting_year,fasli,net_irrigated_area_ha,pct_net_irrigated_to_net_area_sown,area_irrigated_more_than_once_ha,gross_irrigated_area_ha,pct_gross_irrigated,irrigation_intensity_reported,unit,net_area_definition,source_table,source_file,status
CUDDAPAH,Andhra Pradesh (undivided),2004-05,1414,124073.0,29.6,32952.0,157025.0,33.1,,hectares (stated: 'Area in Hectares'),Net area irrigated (no exclusion stated in the source),"DES Andhra Pradesh, Season and Crop Report 2004-05/1414 Fasli, DETAILED TABLE III-B (Concld.), p.170",AP_Season_crop_2004-05_fasli1414.pdf,OBSERVED
ANANTHAPUR,Andhra Pradesh (undivided),2004-05,1414,112147.0,10.4,29604.0,141751.0,12.4,,hectares (stated: 'Area in Hectares'),Net area irrigated (no exclusion stated in the source),"DES Andhra Pradesh, Season and Crop Report 2004-05/1414 Fasli, DETAILED TABLE III-B (Concld.), p.170",AP_Season_crop_2004-05_fasli1414.pdf,OBSERVED
KURNOOL,Andhra Pradesh (undivided),2004-05,1414,171701.0,19.6,32161.0,203862.0,21.3,,hectares (stated: 'Area in Hectares'),Net area irrigated (no exclusion stated in the source),"DES Andhra Pradesh, Season and Crop Report 2004-05/1414 Fasli, DETAILED TABLE III-B (Concld.), p.170",AP_Season_crop_2004-05_fasli1414.pdf,OBSERVED
MAHABOOBNAGAR,Andhra Pradesh (undivided),2004-05,1414,127324.0,18.6,32168.0,159492.0,21.6,,hectares (stated: 'Area in Hectares'),Net area irrigated (no exclusion stated in the source),"DES Andhra Pradesh, Season and Crop Report 2004-05/1414 Fasli, DETAILED TABLE III-B (Concld.), p.170",AP_Season_crop_2004-05_fasli1414.pdf,OBSERVED
RANGAREDDY,Andhra Pradesh (undivided),2004-05,1414,52659.0,22.0,17698.0,70357.0,26.4,,hectares (stated: 'Area in Hectares'),Net area irrigated (no exclusion stated in the source),"DES Andhra Pradesh, Season and Crop Report 2004-05/1414 Fasli, DETAILED TABLE III-B (Concld.), p.170",AP_Season_crop_2004-05_fasli1414.pdf,OBSERVED
HYDERABAD,Andhra Pradesh (undivided),2004-05,1414,0.0,0.0,0.0,0.0,0.0,,hectares (stated: 'Area in Hectares'),Net area irrigated (no exclusion stated in the source),"DES Andhra Pradesh, Season and Crop Report 2004-05/1414 Fasli, DETAILED TABLE III-B (Concld.), p.170",AP_Season_crop_2004-05_fasli1414.pdf,OBSERVED
MEDAK,Andhra Pradesh (undivided),2004-05,1414,100934.0,25.1,43478.0,144412.0,29.1,,hectares (stated: 'Area in Hectares'),Net area irrigated (no exclusion stated in the source),"DES Andhra Pradesh, Season and Crop Report 2004-05/1414 Fasli, DETAILED TABLE III-B (Concld.), p.170",AP_Season_crop_2004-05_fasli1414.pdf,OBSERVED
NIZAMABAD,Andhra Pradesh (undivided),2004-05,1414,114937.0,55.6,74893.0,189830.0,59.4,,hectares (stated: 'Area in Hectares'),Net area irrigated (no exclusion stated in the source),"DES Andhra Pradesh, Season and Crop Report 2004-05/1414 Fasli, DETAILED TABLE III-B (Concld.), p.170",AP_Season_crop_2004-05_fasli1414.pdf,OBSERVED
ADILABAD,Andhra Pradesh (undivided),2004-05,1414,69881.0,13.0,1914.0,71795.0,13.2,,hectares (stated: 'Area in Hectares'),Net area irrigated (no exclusion stated in the source),"DES Andhra Pradesh, Season and Crop Report 2004-05/1414 Fasli, DETAILED TABLE III-B (Concld.), p.170",AP_Season_crop_2004-05_fasli1414.pdf,OBSERVED
KARIMNAGAR,Andhra Pradesh (undivided),2004-05,1414,169330.0,50.8,67100.0,236430.0,55.9,,hectares (stated: 'Area in Hectares'),Net area irrigated (no exclusion stated in the source),"DES Andhra Pradesh, Season and Crop Report 2004-05/1414 Fasli, DETAILED TABLE III-B (Concld.), p.170",AP_Season_crop_2004-05_fasli1414.pdf,OBSERVED
WARANGAL,Andhra Pradesh (undivided),2004-05,1414,284852.0,63.6,43845.0,328697.0,59.8,,hectares (stated: 'Area in Hectares'),Net area irrigated (no exclusion stated in the source),"DES Andhra Pradesh, Season and Crop Report 2004-05/1414 Fasli, DETAILED TABLE III-B (Concld.), p.170",AP_Season_crop_2004-05_fasli1414.pdf,OBSERVED
KHAMMAM,Andhra Pradesh (undivided),2004-05,1414,173244.0,39.5,32172.0,205416.0,42.8,,hectares (stated: 'Area in Hectares'),Net area irrigated (no exclusion stated in the source),"DES Andhra Pradesh, Season and Crop Report 2004-05/1414 Fasli, DETAILED TABLE III-B (Concld.), p.170",AP_Season_crop_2004-05_fasli1414.pdf,OBSERVED
NALGONDA,Andhra Pradesh (undivided),2004-05,1414,187124.0,36.1,67631.0,254755.0,42.1,,hectares (stated: 'Area in Hectares'),Net area irrigated (no exclusion stated in the source),"DES Andhra Pradesh, Season and Crop Report 2004-05/1414 Fasli, DETAILED TABLE III-B (Concld.), p.170",AP_Season_crop_2004-05_fasli1414.pdf,OBSERVED
Chennai,Tamil Nadu,2004-05,1414,0.0,0.0,0.0,0.0,0.0,0.0,hectares (stated: '(in ha.)'),Net area irrigated (excl. wells suppl. other sources),"DES Tamil Nadu, Season and Crop Report 2004-05, TABLE III-B, block 'AREA IRRIGATED BY ALL SOURCES'",TN_2004-05_TableIIIB_AreaIrrigatedBySource_hectares.htm,OBSERVED
Kancheepuram,Tamil Nadu,2004-05,1414,105478.0,86.91,32884.0,138362.0,89.05,1.31,hectares (stated: '(in ha.)'),Net area irrigated (excl. wells suppl. other sources),"DES Tamil Nadu, Season and Crop Report 2004-05, TABLE III-B, block 'AREA IRRIGATED BY ALL SOURCES'",TN_2004-05_TableIIIB_AreaIrrigatedBySource_hectares.htm,OBSERVED
Thiruvallur,Tamil Nadu,2004-05,1414,83954.0,84.3,19839.0,103793.0,80.12,1.24,hectares (stated: '(in ha.)'),Net area irrigated (excl. wells suppl. other sources),"DES Tamil Nadu, Season and Crop Report 2004-05, TABLE III-B, block 'AREA IRRIGATED BY ALL SOURCES'",TN_2004-05_TableIIIB_AreaIrrigatedBySource_hectares.htm,OBSERVED
Cuddalore,Tamil Nadu,2004-05,1414,146355.0,67.96,28503.0,174858.0,63.24,1.19,hectares (stated: '(in ha.)'),Net area irrigated (excl. wells suppl. other sources),"DES Tamil Nadu, Season and Crop Report 2004-05, TABLE III-B, block 'AREA IRRIGATED BY ALL SOURCES'",TN_2004-05_TableIIIB_AreaIrrigatedBySource_hectares.htm,OBSERVED
Villupuram,Tamil Nadu,2004-05,1414,222021.0,69.3,41021.0,263042.0,70.39,1.18,hectares (stated: '(in ha.)'),Net area irrigated (excl. wells suppl. other sources),"DES Tamil Nadu, Season and Crop Report 2004-05, TABLE III-B, block 'AREA IRRIGATED BY ALL SOURCES'",TN_2004-05_TableIIIB_AreaIrrigatedBySource_hectares.htm,OBSERVED
Vellore,Tamil Nadu,2004-05,1414,70294.0,40.65,26814.0,97108.0,46.88,1.38,hectares (stated: '(in ha.)'),Net area irrigated (excl. wells suppl. other sources),"DES Tamil Nadu, Season and Crop Report 2004-05, TABLE III-B, block 'AREA IRRIGATED BY ALL SOURCES'",TN_2004-05_TableIIIB_AreaIrrigatedBySource_hectares.htm,OBSERVED
Thiruvannamalai,Tamil Nadu,2004-05,1414,144156.0,61.11,44325.0,188481.0,65.13,1.31,hectares (stated: '(in ha.)'),Net area irrigated (excl. wells suppl. other sources),"DES Tamil Nadu, Season and Crop Report 2004-05, TABLE III-B, block 'AREA IRRIGATED BY ALL SOURCES'",TN_2004-05_TableIIIB_AreaIrrigatedBySource_hectares.htm,OBSERVED
Salem,Tamil Nadu,2004-05,1414,80199.0,39.53,17556.0,97755.0,41.85,1.22,hectares (stated: '(in ha.)'),Net area irrigated (excl. wells suppl. other sources),"DES Tamil Nadu, Season and Crop Report 2004-05, TABLE III-B, block 'AREA IRRIGATED BY ALL SOURCES'",TN_2004-05_TableIIIB_AreaIrrigatedBySource_hectares.htm,OBSERVED
Namakkal,Tamil Nadu,2004-05,1414,47420.0,28.37,13739.0,61159.0,28.9,1.29,hectares (stated: '(in ha.)'),Net area irrigated (excl. wells suppl. other sources),"DES Tamil Nadu, Season and Crop Report 2004-05, TABLE III-B, block 'AREA IRRIGATED BY ALL SOURCES'",TN_2004-05_TableIIIB_AreaIrrigatedBySource_hectares.htm,OBSERVED
Dharmapuri,Tamil Nadu,2004-05,1414,51447.0,30.28,5814.0,57261.0,30.11,1.11,hectares (stated: '(in ha.)'),Net area irrigated (excl. wells suppl. other sources),"DES Tamil Nadu, Season and Crop Report 2004-05, TABLE III-B, block 'AREA IRRIGATED BY ALL SOURCES'",TN_2004-05_TableIIIB_AreaIrrigatedBySource_hectares.htm,OBSERVED
Krishnagiri,Tamil Nadu,2004-05,1414,44075.0,24.53,4367.0,48442.0,24.73,1.1,hectares (stated: '(in ha.)'),Net area irrigated (excl. wells suppl. other sources),"DES Tamil Nadu, Season and Crop Report 2004-05, TABLE III-B, block 'AREA IRRIGATED BY ALL SOURCES'",TN_2004-05_TableIIIB_AreaIrrigatedBySource_hectares.htm,OBSERVED
Coimbatore,Tamil Nadu,2004-05,1414,160261.0,49.4,13313.0,173574.0,49.39,1.08,hectares (stated: '(in ha.)'),Net area irrigated (excl. wells suppl. other sources),"DES Tamil Nadu, Season and Crop Report 2004-05, TABLE III-B, block 'AREA IRRIGATED BY ALL SOURCES'",TN_2004-05_TableIIIB_AreaIrrigatedBySource_hectares.htm,OBSERVED
Erode,Tamil Nadu,2004-05,1414,149713.0,49.89,28668.0,178381.0,54.18,1.19,hectares (stated: '(in ha.)'),Net area irrigated (excl. wells suppl. other sources),"DES Tamil Nadu, Season and Crop Report 2004-05, TABLE III-B, block 'AREA IRRIGATED BY ALL SOURCES'",TN_2004-05_TableIIIB_AreaIrrigatedBySource_hectares.htm,OBSERVED
Tiruchirapalli,Tamil Nadu,2004-05,1414,91549.0,53.54,12243.0,103792.0,55.81,1.13,hectares (stated: '(in ha.)'),Net area irrigated (excl. wells suppl. other sources),"DES Tamil Nadu, Season and Crop Report 2004-05, TABLE III-B, block 'AREA IRRIGATED BY ALL SOURCES'",TN_2004-05_TableIIIB_AreaIrrigatedBySource_hectares.htm,OBSERVED
Karur,Tamil Nadu,2004-05,1414,42880.0,42.7,2046.0,44926.0,43.76,1.05,hectares (stated: '(in ha.)'),Net area irrigated (excl. wells suppl. other sources),"DES Tamil Nadu, Season and Crop Report 2004-05, TABLE III-B, block 'AREA IRRIGATED BY ALL SOURCES'",TN_2004-05_TableIIIB_AreaIrrigatedBySource_hectares.htm,OBSERVED
Perambalur,Tamil Nadu,2004-05,1414,63987.0,30.07,12049.0,76036.0,32.83,1.19,hectares (stated: '(in ha.)'),Net area irrigated (excl. wells suppl. other sources),"DES Tamil Nadu, Season and Crop Report 2004-05, TABLE III-B, block 'AREA IRRIGATED BY ALL SOURCES'",TN_2004-05_TableIIIB_AreaIrrigatedBySource_hectares.htm,OBSERVED
Pudukottai,Tamil Nadu,2004-05,1414,102713.0,64.71,1486.0,104199.0,64.91,1.01,hectares (stated: '(in ha.)'),Net area irrigated (excl. wells suppl. other sources),"DES Tamil Nadu, Season and Crop Report 2004-05, TABLE III-B, block 'AREA IRRIGATED BY ALL SOURCES'",TN_2004-05_TableIIIB_AreaIrrigatedBySource_hectares.htm,OBSERVED
Thanjavur,Tamil Nadu,2004-05,1414,160889.0,84.99,35814.0,196703.0,78.23,1.22,hectares (stated: '(in ha.)'),Net area irrigated (excl. wells suppl. other sources),"DES Tamil Nadu, Season and Crop Report 2004-05, TABLE III-B, block 'AREA IRRIGATED BY ALL SOURCES'",TN_2004-05_TableIIIB_AreaIrrigatedBySource_hectares.htm,OBSERVED
Thiruvarur,Tamil Nadu,2004-05,1414,141206.0,96.4,15320.0,156526.0,68.45,1.11,hectares (stated: '(in ha.)'),Net area irrigated (excl. wells suppl. other sources),"DES Tamil Nadu, Season and Crop Report 2004-05, TABLE III-B, block 'AREA IRRIGATED BY ALL SOURCES'",TN_2004-05_TableIIIB_AreaIrrigatedBySource_hectares.htm,OBSERVED
Nagapattinam,Tamil Nadu,2004-05,1414,118174.0,82.57,27925.0,146099.0,61.03,1.24,hectares (stated: '(in ha.)'),Net area irrigated (excl. wells suppl. other sources),"DES Tamil Nadu, Season and Crop Report 2004-05, TABLE III-B, block 'AREA IRRIGATED BY ALL SOURCES'",TN_2004-05_TableIIIB_AreaIrrigatedBySource_hectares.htm,OBSERVED
Madurai,Tamil Nadu,2004-05,1414,77206.0,55.72,8284.0,85490.0,57.96,1.11,hectares (stated: '(in ha.)'),Net area irrigated (excl. wells suppl. other sources),"DES Tamil Nadu, Season and Crop Report 2004-05, TABLE III-B, block 'AREA IRRIGATED BY ALL SOURCES'",TN_2004-05_TableIIIB_AreaIrrigatedBySource_hectares.htm,OBSERVED
Theni,Tamil Nadu,2004-05,1414,52657.0,46.99,8009.0,60666.0,50.2,1.15,hectares (stated: '(in ha.)'),Net area irrigated (excl. wells suppl. other sources),"DES Tamil Nadu, Season and Crop Report 2004-05, TABLE III-B, block 'AREA IRRIGATED BY ALL SOURCES'",TN_2004-05_TableIIIB_AreaIrrigatedBySource_hectares.htm,OBSERVED
Dindigul,Tamil Nadu,2004-05,1414,92955.0,36.32,7156.0,100111.0,37.87,1.08,hectares (stated: '(in ha.)'),Net area irrigated (excl. wells suppl. other sources),"DES Tamil Nadu, Season and Crop Report 2004-05, TABLE III-B, block 'AREA IRRIGATED BY ALL SOURCES'",TN_2004-05_TableIIIB_AreaIrrigatedBySource_hectares.htm,OBSERVED
Ramanathapuram,Tamil Nadu,2004-05,1414,72718.0,37.91,0.0,72718.0,37.91,1.0,hectares (stated: '(in ha.)'),Net area irrigated (excl. wells suppl. other sources),"DES Tamil Nadu, Season and Crop Report 2004-05, TABLE III-B, block 'AREA IRRIGATED BY ALL SOURCES'",TN_2004-05_TableIIIB_AreaIrrigatedBySource_hectares.htm,OBSERVED
Virudhunagar,Tamil Nadu,2004-05,1414,52596.0,37.23,5118.0,57714.0,39.07,1.1,hectares (stated: '(in ha.)'),Net area irrigated (excl. wells suppl. other sources),"DES Tamil Nadu, Season and Crop Report 2004-05, TABLE III-B, block 'AREA IRRIGATED BY ALL SOURCES'",TN_2004-05_TableIIIB_AreaIrrigatedBySource_hectares.htm,OBSERVED
Sivagangai,Tamil Nadu,2004-05,1414,83160.0,68.07,0.0,83160.0,68.07,1.0,hectares (stated: '(in ha.)'),Net area irrigated (excl. wells suppl. other sources),"DES Tamil Nadu, Season and Crop Report 2004-05, TABLE III-B, block 'AREA IRRIGATED BY ALL SOURCES'",TN_2004-05_TableIIIB_AreaIrrigatedBySource_hectares.htm,OBSERVED
Tirunelveli,Tamil Nadu,2004-05,1414,110389.0,66.33,25541.0,135930.0,68.51,1.23,hectares (stated: '(in ha.)'),Net area irrigated (excl. wells suppl. other sources),"DES Tamil Nadu, Season and Crop Report 2004-05, TABLE III-B, block 'AREA IRRIGATED BY ALL SOURCES'",TN_2004-05_TableIIIB_AreaIrrigatedBySource_hectares.htm,OBSERVED
Thoothukudi,Tamil Nadu,2004-05,1414,40038.0,22.33,1131.0,41169.0,22.72,1.03,hectares (stated: '(in ha.)'),Net area irrigated (excl. wells suppl. other sources),"DES Tamil Nadu, Season and Crop Report 2004-05, TABLE III-B, block 'AREA IRRIGATED BY ALL SOURCES'",TN_2004-05_TableIIIB_AreaIrrigatedBySource_hectares.htm,OBSERVED
The Nilgiris,Tamil Nadu,2004-05,1414,736.0,0.93,0.0,736.0,0.92,1.0,hectares (stated: '(in ha.)'),Net area irrigated (excl. wells suppl. other sources),"DES Tamil Nadu, Season and Crop Report 2004-05, TABLE III-B, block 'AREA IRRIGATED BY ALL SOURCES'",TN_2004-05_TableIIIB_AreaIrrigatedBySource_hectares.htm,OBSERVED
Kanyakumari,Tamil Nadu,2004-05,1414,27972.0,35.62,10945.0,38917.0,42.53,1.39,hectares (stated: '(in ha.)'),Net area irrigated (excl. wells suppl. other sources),"DES Tamil Nadu, Season and Crop Report 2004-05, TABLE III-B, block 'AREA IRRIGATED BY ALL SOURCES'",TN_2004-05_TableIIIB_AreaIrrigatedBySource_hectares.htm,OBSERVED
